serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600671,ST 目药,4239.25,3080.6,4756.07,,11.0033,29983.98,-25.53,4722.2617,,15655.34,-2.0,358.3955,,52.23,-165815202.89,-1462.73,2022FY,2022
2,600671,*ST目药,9796.2612,3668.3352,4294.6392,,0.0,34628.855633,14.56,5121.9131,,21652.8894,-1.91,,,90.0,-23440.69,3713.805707,2023FY,2023
3,600671,*ST目药,682.27,3074.25,4704.85,,,25660.5849,-14.42,3861.49,,15168.72,-18.23,,,60.07,-25679.65,-3804.8313,2023HY,2023
4,600671,ST 目药,,,,,,28420.96,-5.21,,,,,,,,,-549.41,2023Q1,2023
5,600671,杭州天目山药业,,,,,,34044.250183,13.54,,,,,,,,,-2236.150061,2023Q3,2023
6,600671,ST 目药,6572.5,9656.51,5232.3041,,,44146.32,27.48,8224.0943,,16450.58,-24.03,,,64.88,-25636.4331,5238.39,2024FY,2024
7,600671,ST目药,7131.09,3147.34,5321.75,,,33314.8225,-3.79,5083.6655,,14333.59,-29.3,,,43.02,-271610158.28,1863.7328,2024HY,2024
8,600671,杭州天目山药业,5592.069346,3994.33891,4536.13889,,,31267.931964,-9.71,5850.048633,,26682.93189,,,7245.0,88.44,,2741.527359,2024Q1,2024
9,600671,ST 目药,3042.618181,6403.556053,4673.249913,,,36635.129879,7.61,6986.97762,,30984.091842,,,,84.57,-27530.570434,5651.038037,2024Q3,2024
10,600671,天目药业,2536.71,11343.1446,4579.84,,,40470.69,-8.33,6927.6005,,34207.52,1.47,235.6005,13256.3244,84.53,,6263.17,2025HY,2025
11,600671,ST 目药,,,,,,430219.51916,-2.55,,,,,,,,,5747.819284,2025Q1,2025
12,600671,天目药业,,,,,,42972.73072,-2.66,,,,,,,,,6659.26814,2025Q3,2025
