serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600671,ST 目药,-0.55,10890.62,-25.95,,-6756.03,-125.86,,-1462.73,-442.2,-0.16,-6692.4,-113.15,22.86,-61.98,-442.2,2022FY,2022
2,600671,*ST目药,-0.3143,12177.85,11.82,246.42,-3827.51,-339.45,-848.12,3.713805707,-339.45,-2.042882092,-3899.99824,-43.31,22.07,-31.44,-23.18,2023FY,2023
3,600671,*ST目药,-0.1923,5095.39,,128.98,-2342.1,,-158.65,,-88.9256,-0.2484,-2110.3861,-80.1277,,-45.97,-88.9256,2023HY,2023
4,600671,ST 目药,-0.0744,2225.29,-14.58,-79.57,-905.51,,86.6,,-47.2732,-119.89,-782.19,,,-40.69,142.37,2023Q1,2023
5,600671,杭州天目山药业,-0.03,3515.327968,33.02,-31.01,-403.695767,,82.76,,18.05,-0.2146,-233.804828,,22.79,-11.48,10.46,2023Q3,2023
6,600671,ST 目药,0.1252,21729.59,78.44,0.0,1524.58,127.48,0.0,5.24,34.06,-0.0004,996.39,25.48,0.0,0.0,34.06,2024FY,2024
7,600671,ST目药,-0.1519,5954.84,16.95,16.95,-1850.07,-21.01,-48.47,1863.73,-66.3401,-2812.84,-2205.7081,4.52,26.85,-31.07,-79.0925,2024HY,2024
8,600671,杭州天目山药业,,3833.144182,72.25,-68.52,-972.278348,72.25,74.6,,-35.46,-0.0798,-1075.24664,72.25,22.01,-25.37,-39.22,2024Q1,2024
9,600671,ST 目药,0.12,6513.204843,85.28,9.38,1480.518289,466.74,180.02,,26.2,,1419.262045,,,22.73,25.12,2024Q3,2024
10,600671,天目药业,0.0842,10359.74,75.44,0.0,1024.78,127.76,0.0,6263.17,17.82,-0.0089,590.33,138.63,42.85,6.18,10.27,2025HY,2025
11,600671,ST 目药,0.0418,5229346.492,88.55,23965.56,509430.804,52495.57,33314.5,,9.274,-965230.607,365750.782,,40.94,9.74,6363.3,2025Q1,2025
12,600671,天目药业,0.03,5534.303875,-15.03,-46.58,396.098786,-73.25,-61.35,,6.07,,497.970085,-64.91,,7.16,7.48,2025Q3,2025
