serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600671,ST目药,-6756.03,-115.39,,10890.6179,,990.7664,606.73,4570.04,,158.41,,6325.9464,-1485.1428,,,,2022FY,2022
2,600671,*ST目药,-3827.5148,43.36,74.0865,12177.853585,-10.19,9524.638208,246.630122,4516.008553,713.104629,48.221665,0.0,712.8381,-3827.5148,563.4553,-887.2375,51.1703,2023FY,2023
3,600671,*ST目药,-2342.1042,,40.5521,5095.3893,,,335.78,2063.02,330.68,1.37,,2730.85,2405.0914,,-663.4423,152.0612,2023HY,2023
4,600671,ST 目药,-997.39,,,,,,188.43,972.22,153.46,1.37,,1315.48,,,,,2023Q1,2023
5,600671,杭州天目山药业,-2745.799953,,,8610.717219,,6648.720995,219.916474,3183.705933,496.522554,44.295633,,10593.1616,-1982.4444,,,,2023Q3,2023
6,600671,ST目药,1524.58,139.83,,21729.59,78.44,,,,,120680000.0,,120680000.0,1524.58,,,,2024FY,2024
7,600671,ST目药,-1850.0729,21.01,26.426,5954.8398,16.87,4345.87,455.42,3178.94,426.06,10.68,,8416.97,-2138.2024,-2138.2024,11.5516,17.0329,2024HY,2024
8,600671,杭州天目山药业,-1009.845985,-1.25,,3833.144182,,2989.484,208.920384,1604.412735,142.960549,0.0,,4949.699871,-1091.618717,-1007.26716,12.336223,4.268013,2024Q1,2024
9,600671,ST 目药,,,37.453439,,,,446.459557,4740.626416,541.017182,10.679612,,5738.7828,-730.555919,-362.779529,11.551633,-264.305374,2024Q3,2024
10,600671,天目药业,1024.78,155.39,19.0493,10359.7374,73.97,5995.1092,639.9487,2965.3362,321.4081,10.6796,110.9219,10043.4037,711.87,711.87,-49.4501,29.3545,2025HY,2025
11,600671,ST 目药,291076.29,28923.83,,5229346.492,136324.47,3088371.73,230303.106,1413952.862,130132.215,,,4862759.913,366586.579,,,,2025Q1,2025
12,600671,天目药业,750.807379,-73.25,,,,,,,,,,,,,,,2025Q3,2025
