serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600750,江中药业,137131.9047,31922.5996,38222.4949,137284.5436,,624365.91,4.1,18181.6431,,174828.1712,,,,45.83,250725.87,389096.63,2022FY,2022
2,600750,江中药业,0.0,0.0,0.0,0.0,0.0,6128543353.58,-2.35,0.0,0.0,165343.6913,0.0,0.0,0.0,0.0,440533900.0,3831520111.84,2023FY,2023
3,600750,江中药业,262733.70343,,,17853.0006,,616964.017972,-1.19,,,1407.7956,,,,0.23,,393717.949542,2023HY,2023
4,600750,江中药业,209633.425574,38329.883255,35536.286558,66712.887216,46733.960023,631694.948106,1.17,20584.654204,,156110.938272,-10.77,17016.277213,,32.53,276497.24732,413424.449515,2023Q1,2023
5,600750,江中药业,256956.7678,26262.7773,41427.9503,,,623972.253,-0.06,17089.3454,,152540.6666,-12.84,14248.6912,,38.46,,408196.2376,2023Q3,2023
6,600750,江中药业,100737.9501,46459.1781,53264.2955,1000.5153,,650793.9656,1.66,,,203629.8093,23.16,,,45.05,,447164.1563,2024FY,2024
7,600750,江中药业,114506.325,29255.5523,47195.4685,,,614417.95,0.26,,,0.0,0.0,,,0.46,0.0,388558.67,2024HY,2024
8,600750,江中药业,133669.3596,24832.6862,35755.2172,10063.5417,,652711.987,6.5,14069.4553,,176621.4111,9.76,27684.3659,,36.25,,476090.5759,2024Q1,2024
9,600750,江中药业,90797.5361,29576.3768,44240.1612,,,612675.2092,-1.81,11355.9175,,,,19372.3347,,,231667.5695,423199.4314,2024Q3,2024
10,600750,江中药业,152895.5258,50037.6168,51012.5448,15003.6423,,663562.825743,1.96,18493.7289,,,,14093.5133,,,256958.6838,394603.176356,2025HY,2025
11,600750,江中药业,,,,,,668447.0898,2.71,,,,,,,,,414819.3104,2025Q1,2025
12,600750,江中药业,,,,,,689149.1627,5.89,,,,,,,,,379554.4059,2025Q3,2025
