serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600750,江中药业,361715667.8,10.79,101598.94,-0.01,,0.0,-0.0,,,,,-677684083.07,100.01,2022FY,2022
2,600750,江中药业,1035899563.95,20.76,1035899563.95,100.01,3924.8084,-12703.4982,-0.0,18000.0,150600.0,0.0,1654.5307,-81704.7852,-0.01,2023FY,2023
3,600750,江中药业,161626523.53,0.0,53030.693921,328.11,0.0,4234.811807,26.2,0.0,0.0,0.0,0.0,-41102.853375,-254.31,2023HY,2023
4,600750,江中药业,-5755.89693,,6189.143084,-106.97,117819.326122,-11945.040014,206.45,82486.408351,75900.0,0.0,0.0,-29.964348,0.52,2023Q1,2023
5,600750,江中药业,-365838465.35,,57097.0505,-156.07,,-51809.7633,141.62,,,,,-41871.1338,114.45,2023Q3,2023
6,600750,江中药业,-128470469.47,-24.36,78625.2549,196.65,37223.5077,21769.5091,54.45,99100.0,123015.0,0.0,8898.0022,-60412.0992,-151.1,2024FY,2024
7,600750,江中药业,47589.99,-11.99,47589.9892,279.21,216135.0561,14172.9992,83.15,48468.4872,67500.0,0.0,0.0,-44718.3808,-262.36,2024HY,2024
8,600750,江中药业,14773104.88,10.81,8258.5413,559.03,88256.308,-6726.1571,-455.3,36000.0,33000.0,0.0,0.0,-55.0737,-3.73,2024Q1,2024
9,600750,江中药业,,,44296.0893,-522.76,,-7961.0953,93.95,,,,,-44808.5469,528.8,2024Q3,2024
10,600750,江中药业,,29.07,65178.767527,-1276.43,,-32802.3414,642.39,,,,,-37482.7499,734.05,2025HY,2025
11,600750,江中药业,47107059.61,218.66,17674.336,375.2,,-12957.8221,-275.07,,,,,-5.808,-0.12,2025Q1,2025
12,600750,江中药业,,100.02,97377.4302,100.0,,,,,,,,,,2025Q3,2025
