serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600750,江中药业,0.94,381164.15,32.63,,59605.87,17.87,,6.19,14.53,1.6022,50652.09,19.42,64.93,15.64,14.53,2022FY,2022
2,600750,江中药业,1.12,4390101978.99,13.0,13.0,708291520.66,18.4,18.4,6.11,17.75,1.64,703915535.5,38.97,65.28,16.13,17.75,2023FY,2023
3,600750,江中药业,0.7,229754.938203,,74.54,44700.183446,13.95,85.61,,11.04,53030.693921,41401.26201,16.04,83.01,19.46,10.22,2023HY,2023
4,600750,江中药业,0.38,131637.872666,41.44,-65.46,24083.106077,31.1,-59.6,,6.0,0.0977,22478.354646,,67.99,18.29,5.44,2023Q1,2023
5,600750,江中药业,0.23,84250.9667,-13.45,-13.45,14247.4702,26.48,26.48,6.49,14.7,57097.0505,14519.7665,55.78,67.88,19.89,12.27,2023Q3,2023
6,600750,江中药业,1.25,443545.0591,-2.79,12.5,78819.2557,9.67,12.5,7.16,19.58,0.89,74917.5143,6.43,63.95,19.39,18.94,2024FY,2024
7,600750,江中药业,0.78,217252.7,-8.02,77.0,48875.34,8.66,83.2,6.18,12.21,0.76,47123.44,13.06,69.25,22.51,11.77,2024HY,2024
8,600750,江中药业,0.43,122740.4484,-8.74,-100.0,26677.9517,9.99,-100.0,,6.71,0.1331,26419.7114,16.64,68.77,21.74,6.71,2024Q1,2024
9,600750,江中药业,0.23,79935.2122,-8.64,-63.21,14558.7455,2.15,-70.21,,3.44,0.0,14431.7855,-0.64,,18.21,3.41,2024Q3,2024
10,600750,江中药业,0.82,214111.814251,-1.45,80.82,52233.750328,5.8,83.33,6.22,12.89,1.0232,48210.308676,11.9,83.49,24.4,11.9,2025HY,2025
11,600750,江中药业,0.45,118409.9208,-7.03,-73.3,28491.4264,5.91,-63.85,,7.11,0.2792,26117.6098,-1.14,,24.06,6.3,2025Q1,2025
12,600750,江中药业,0.26,79205.4083,-0.91,-63.01,16111.254,4.7,-69.16,,4.14,1.5715,15796.4046,9.46,,20.34,4.16,2025Q3,2025
