serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600771,广誉远,-0.81,99469.48,16.44,,-39872.38,-18.94,,3.48,-20.98,0.52,-40793.3,-18.94,0.0,-40.07,-20.98,2022FY,2022
2,600771,广誉远,0.18,128401.58,29.09,368.69,9007.86,135.6,524.54,2.99,6.19,0.4306,8978.51,135.6,13.56,7.01,6.19,2023FY,2023
3,600771,广誉远,0.02,66385.0057,,79.88,1006.4069,34.76,2.79,,0.59,0.5535,1096.7424,152.63,75.24,1.36,0.64,2023HY,2023
4,600771,广誉远,0.02,36904.5043,,-62.9,979.0453,,102.46,,0.57,0.2783,971.4819,,,2.65,0.56,2023Q1,2023
5,600771,广誉远,0.03,27395.8024,-19.87,-58.73,1442.3083,,43.31,,0.82,35951.5912,267.5325,,,5.26,0.15,2023Q3,2023
6,600771,广誉远,0.15,122142.627679,-4.87,-4.87,7445.3,-17.35,-17.35,3.21,4.86,0.23,6867.196941,-23.52,0.0,6.1,4.86,2024FY,2024
7,600771,广誉远,0.12,65960.02,0.0,1.75,5960.305133,13.75,-33.85,0.0,3.91,0.0,5584.496755,4.77,77.87,9.09,3.66,2024HY,2024
8,600771,广誉远,0.0844,34337.8924,-6.95,-73.26,4130.3614,321.88,-54.15,,2.72,0.2644,4849.3986,,,12.03,3.11,2024Q1,2024
9,600771,广誉远,0.02,23392.5589,-15.52,-64.54,1136.1158,-70.98,-80.94,,0.72,0.2395,948.8994,-64.19,,4.86,0.6,2024Q3,2024
10,600771,广誉远,0.16,77928.356511,18.14,86.81,7685.710356,28.95,20.87,,4.78,0.5122,6799.8647,21.76,71.92,9.88,4.23,2025HY,2025
11,600771,广誉远,0.1299,41714.2536,21.48,-65.85,6358.4343,53.94,-14.6,,3.84,0.2742,6364.1196,31.24,67.29,15.24,3.84,2025Q1,2025
12,600771,广誉远,0.0041,28143.924,20.31,-63.88,202.6884,-82.16,-97.36,,0.13,0.4072,789.0698,-16.84,,0.72,0.47,2025Q3,2025
