serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600771,广誉远,-41785.58,-312.72434294,193.3426,99469.4791,16.44,34484.9945,85362.79,8931.44,2519.1658,2896.13,2054.7748,136249.2951,-42824.4036,-41998.2758,-5718.8895,-425.2318,2022FY,2022
2,600771,广誉远,9285.12,384.14,,128401.5752,29.09,,64345.8,9280.53,1557.41,3138.16,,78321.9,0.0,,,,2023FY,2023
3,600771,广誉远,1006.4069,28.61,,66385.0057,38.47,,36616.9147,3996.6185,829.2287,1601.8976,,187186738.81,-187120353.8043,,,,2023HY,2023
4,600771,广誉远,960.6318,,,36904.5043,,,,,,,,,,,,,2023Q1,2023
5,600771,广誉远,2377.8489,754.33,,93780.8081,14.19,,,,,,,,,,,,2023Q3,2023
6,600771,广誉远,8360.091325,-9.92,19706787.51,122142.6277,-4.87,322198088.14,57927.770735,8653.799777,476.832196,3859.173871,,322269005.7166,-302440075.5789,,-12164730.41,-70014685.8,2024FY,2024
7,600771,广誉远,6857.9737,13.75,0.0,65960.017582,-4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024HY,2024
8,600771,广誉远,4962.1931,416.56,,34337.8924,-6.95,,,,,,,,,,,,2024Q1,2024
9,600771,广誉远,7685.7104,28.95,1135.419068,77928.3565,18.14,24798.10718,36113.99457,4083.526328,,2071.972499,1831.945066,68899.5456,8662.70324,8662.7032,,-1296.738978,2025HY,2025
10,600771,广誉远,6562.6931,32.25,,41714.2536,21.48,13642.8924,17235.747,2014.1278,60.0559,1233.5988,,34186.4219,7527.8317,,,,2025Q1,2025
11,600771,广誉远,8215.4595,11.16,,106072.2805,18.71,,,,,,,,,,,,2025Q3,2025
