serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600976,健民集团,21933.4424,63834.1779,36288.2108,64137.6434,1718.953,343765.93,20.36,31214.6312,7.9365,154751.2325,50.43,8251.6393,2251.5625,43.88,186286.16,186286.16,2022FY,2022
2,600976,健民集团,30512.2133,85846.2444,45084.5166,69445.5873,,416795.12,21.15,40334.6504,,191146.6639,21.15,,,45.86,106568.2926,224770.61,2023FY,2023
3,600976,健民集团,39934.2069,91588.1018,30469.6672,45551.0259,,368872.8609,7.3,39628.4497,,171317.5278,,,,48.75,116761.9326,196971.9618,2023HY,2023
4,600976,健民集团,36616.1674,89211.2175,34716.557,70920.0746,,366615.0711,6.65,33228.6154,0.0,169678.3275,10.97,3806.2394,7846.0688,46.27,,196936.7435,2023Q1,2023
5,600976,健民集团,21933.4424,63834.1779,36288.2108,64137.6434,1718.953,391616.91,13.92,31214.6312,,156982.4934,,,2251.5625,40.09,106864.6415,214329.46,2023Q3,2023
6,600976,健民集团,16317.3888,80766.7333,35431.1613,95419.1252,20667.9826,427762.94,2.64,52737.814,85833.33,182729.0163,-4.35,6143.1414,14089.5063,42.72,161184.234,245033.9243,2024FY,2024
7,600976,健民集团,18634.8465,105974.3928,28020.175,56289.4139,,407309.4035,-2.28,46912.0383,,175407.1889,12.5,,,43.06,148902.1211,230742.9733,2024HY,2024
8,600976,健民集团,30528.762399,102541.536876,46032.822319,,,433356.91077,18.2,,,197605.380923,16.46,,,45.6,,235751.529847,2024Q1,2024
9,600976,健民集团,,,,,,420532.4282,0.9,,,,,,,,,240627.573,2024Q3,2024
10,600976,健民集团,17076.8975,90708.9079,29633.2117,88797.9075,22095.232,432547.25,1.12,54428.1445,,180759.99,1.12,,,41.79,169440.9225,251787.25,2025HY,2025
11,600976,健民药业,27204.3058,86831.9513,30617.836,93188.9988,22743.3704,427768.321,0.0013,49502.9836,0.0,171730.4108,-5.35,2986.8029,10500.0,67.94,172201.9803,256037.9102,2025Q1,2025
12,600976,健民集团,,,,,,433751.4441,1.4,,,,,,,,,260018.3576,2025Q3,2025
