serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600976,健民集团,2.68,364080.05,10.35,10.35,40756.91,33.52,33.52,186286.16,25.27,0.31,37391.08,24.42,76.85,11.17,23.21,2022FY,2022
2,600976,健民集团,3.41,421315.46,15.72,15.72,52145.77,27.78,27.78,14.66,25.52,1.75,43844.44,17.1,77.75,12.38,21.46,2023FY,2023
3,600976,健民集团,1.65,216143.03,17.67,113.29,252371510.88,34.14,2534765.55,12.69,12.69,0.5158,233102742.27,45.66,44.26,116761.35,11.72,2023HY,2023
4,600976,健民集团,0.65,101338.611,10.4,-72.17,9956.0117,12.23,-75.57,,5.21,-0.4364,9043.2322,13.31,49.66,9.82,5.21,2023Q1,2023
5,600976,健民集团,1.07,95618.89,-1.74,-55.76,16275.24,28.45,-99.99,,7.59,1.1038,12025.7,1.55,,17.02,5.61,2023Q3,2023
6,600976,健民集团,2.38,350498.61,-16.81,302.08,36217.87,-30.54,340.3,15.83,15.68,1.53,30339.43,-30.8,76.36,10.34,15.68,2024FY,2024
7,600976,健民集团,1.56,200959.61,-7.02,-7.02,23935.75,-5.16,-5.16,15.06,11.27,5523.16,19429.7662,-16.65,43.94,11.91,9.15,2024HY,2024
8,600976,健民集团,0.65,97012.113545,-4.27,-76.97,9952.395019,-0.04,-80.91,,4.33,-0.3373,9047.367159,,,10.26,3.84,2024Q1,2024
9,600976,健民集团,0.54,87172.0993,-8.83,-56.62,8225.8112,-49.46,-65.63,,3.42,0.6944,7651.4611,-36.37,,9.44,3.18,2024Q3,2024
10,600976,健民集团,1.46,180459.92,-10.2,102.29,22062.56,-7.83,100.25,251787.25,8.83,0.3686,19548.18,0.61,73.45,4.16,7.82,2025HY,2025
11,600976,健民药业,0.73,89208.4313,-8.04,-74.55,11017.7463,10.7,-69.58,,4.42,-0.1651,10306.6614,13.92,57.76,12.45,4.03,2025Q1,2025
12,600976,健民集团,0.42,74733.4981,-14.27,-58.59,6511.1697,-20.84,-70.49,,2.55,0.8969,6022.2741,-21.29,,8.71,2.32,2025Q3,2025
