serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600993,马应龙,15378.809201,24746.6233,33620.1074,,,505761.5623,22.55,,,143875.4527,78.55,,,0.0,266669.1485,349624.0837,2022FY,2022
2,600993,马应龙,298809.595,3379047.56,5450459.01,6328525.65,20573503.62,482952.3622,-5.08,7967250.86,,95961.7984,-57.55,9185.7148,4580000.0,24.23,295745.2771,373796.822,2023FY,2023
3,600993,马应龙,14269.24,4499.54,22138.03,90182.645,7557.78,510814.2426,1.0,17458.2616,,152035.01,1.0,,,29.78,266582.011,358777.2258,2023HY,2023
4,600993,马应龙药业,220899.254776,35333.53426,34300.880407,,2571.4101,504401.690264,,15147.3369,,128665.069543,,10275.0948,,25.51,266582.011,364430.090076,2023Q1,2023
5,600993,马应龙,,,,,,501036.4433,-0.93,,,116602.4055,,,,31.29,,371857.4863,2023Q3,2023
6,600993,马应龙,301529.5421,25996.607,27762.7289,14213.646,,518193.67,0.0,19562.8489,,98065.9139,2.19,,,0.23,33137.1953,406596.2,2024FY,2024
7,600993,马应龙,244086.74934,26314.233767,29191.300739,70540.7357,25232.3959,519333.140964,7.53,21071.048914,,121132.959892,26.28,,,30.05,,3982001.81072,2024HY,2024
8,600993,马应龙,241495.226436,23211.229814,29125.452939,,,501216.809591,-0.63,,,96872.982824,-24.71,,,23.78,,404343.826767,2024Q1,2024
9,600993,马应龙,,,,,,5124759268.86,6.11,,,,,,,,,4000705971.94,2024Q3,2024
10,600993,马应龙,170750.4317,27698.1889,28091.8412,125935.5398,1997.0432,563292.6139,8.7,21316.0139,,136286.9334,12.51,,,24.19,,414164.3543,2025HY,2025
11,600993,马应龙,,,,,,544762.592772,8.69,,,,,,,,,426948.583269,2025Q1,2025
12,600993,马应龙,,,,,,534133.058838,-99.99,,,,,,,,,429944.734433,2025Q3,2025
