serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600993,马应龙,1.11,353237.9037,4.35,,47900.4678,3.1,,,14.37,0.7922,46170.86,6.95,41.97,13.56,13.85,2022FY,2022
2,600993,马应龙,1.03,313674.6408,-11.2,-11.2,44325.0935,-7.38,-7.21,373796.822,12.31,13.99,35236.7707,-23.61,41.44,14.13,11.85,2023FY,2023
3,600993,马应龙,0.65,,-14.91,-14.91,28137.0614,3.47,3.47,8.19,8.16,-0.08,22307.2831,-18.28,44.88,17.15,6.47,2023HY,2023
4,600993,马应龙药业,0.44,83265.181562,-12.27,-76.43,18760.580002,36.39,-60.83,,5.15,-0.0,14232.64431,3.5,48.57,22.53,3.91,2023Q1,2023
5,600993,马应龙,0.32,80589.2792,-6.0,,13701.0729,-4.93,-51.31,,3.68,7646.0034,13718.6553,-2.23,43.38,17.0,3.69,2023Q3,2023
6,600993,马应龙,1.23,372802.37,18.85,0.0,52809.39,19.14,0.0,9.43,13.56,1.15,51085.73,44.98,46.03,14.17,13.11,2024FY,2024
7,600993,马应龙,0.72,192771.512653,12.5,101.85,31191.201303,10.85,57.8,10.29,8.12,0.5,30855.570617,38.32,50.07,16.18,8.03,2024HY,2024
8,600993,马应龙,0.46,95501.718455,14.7,-69.55,19766.589538,5.36,-55.41,,5.17,0.1384,19309.908066,35.67,,20.7,4.78,2024Q1,2024
9,600993,马应龙,1.06,2791816831.37,14.13,1448151.76,457504222.25,9.35,1466673.33,,11.44,317286449.82,448970834.66,24.62,,16.39,11.22,2024Q3,2024
10,600993,马应龙,0.8,194902.303186,1.11,101.11,34322.2283,10.04,68.6,,8.1,0.724,32164.4267,4.24,49.58,17.61,7.59,2025HY,2025
11,600993,马应龙,0.47,96914.744922,1.48,-74.0,20357.214006,2.99,-61.45,4.88,4.77,0.354,19505.062812,,,21.01,4.57,2025Q1,2025
12,600993,马应龙,1.16,283728.185608,1.63,45.57,50101.071743,9.51,45.97,,11.65,1.0414,46812.570249,4.27,57.43,18.32,10.89,2025Q3,2025
