serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600993,马应龙,48030.9479,22.1,1856.0154,148833.73,4.35,,78074.2783,10531.2542,-4631.6776,7789.1282,5029.39,78074.28,72615.4654,,-432.0911,-1555.1208,2022FY,2022
2,600993,马应龙,44325.0935,-7.38,2012.1628,129210.77,-11.21,,71516.6033,11004.175,,6901.4294,2438.5666,91860.7743,53662.8339,52470.3238,-1327.975,-790.1691,2023FY,2023
3,600993,马应龙,28137.0614,,,164035.1698,,92219.89,35709.69,5655.45,-2062.21,3454.62,1116.4579,139082.29,24952.98,28137.06,0.0,0.0,2023HY,2023
4,600993,马应龙药业,18947.986257,,272.440044,83265.181562,,47337.652139,13932.581468,2412.481078,-981.519145,1702.916821,,64404.1124,19133.5092,,,,2023Q1,2023
5,600993,马应龙,43037.7695,0.56,,244624.449,,138504.3273,50181.3781,8205.3968,-3080.9864,4838.9154,,198649.0312,45975.4178,,,,2023Q3,2023
6,600993,马应龙,52809.39,100.0,1906.9783,372802.3669,100.0,199248.66,93693.65,11437.31,-5754.01,6669.17,161.9112,311412.4515,173553.71,173553.71,0.0,0.0,2024FY,2024
7,600993,马应龙,31191.201303,10.85,1323.3502,192771.5127,17.52,,,,,,,,,,-690.8997,-1232.2158,2024HY,2024
8,600993,马应龙,20322.096427,7.25,,,14.7,,18973.96704,2973.66677,,1678.82554,957.461283,24583.9206,24022.393949,,,,2024Q1,2024
9,600993,马应龙,472142287.89,1096941.72,,2791816831.37,1141166.48,,643880933.77,83480506.97,-43787784.52,51039415.65,,734613071.87,2057203759.5,,,,2024Q3,2024
10,600993,马应龙,35735.3641,14.57,965.4289,194902.3032,1.11,98268.941,45574.3505,6644.539,-1976.9788,3729.1559,,152240.0076,42027.300603,42027.3006,-125.6017,-1374.025,2025HY,2025
11,600993,马应龙,21001.056264,3.34,,,,,,,,,,,,,,,2025Q1,2025
12,600993,马应龙,51923.99351,-99.99,1879.472513,,,,67274.211152,8179.039813,-2759.365212,5812.616184,,78506.5019,61091.845042,60810.59051,,,2025Q3,2025
