serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,603139,康惠制药,14626224.69,579.82,5043.42,344.82,25944.4549,-4339.89,-296.72,27258.0,36000.0,5000.0,,759.09,51.9,2022FY,2022
2,603139,康惠制药,-7213.43,-243.03,-0.7213,0.01,22864.476,-15132.4507,156.51,12679.5265,4256.4176,21000.0,13200.0,5464.64,-56.52,2023FY,2023
3,603139,康惠制药,-7980.920341,-262.12,-7980.9203,147.62,,2534.3583,-46.88,,,,,40.236,-0.74,2023HY,2023
4,603139,陕西康惠制药,-3021965.82,,-771.443,255.28,,-9397.7471,3109.81,,,,,9866.9936,-3265.09,2023Q1,2023
5,603139,陕西康惠制药,-364.664502,-311.27,-9922.702409,100.0,,,,,,,,,,2023Q3,2023
6,603139,康惠制药,3729.42,151.7,3729.42,-82.47,,-1652.39,36.54,,,,,-6599.06,145.93,2024FY,2024
7,603139,康惠制药,-1430.067838,82.08,-1430.067838,-49.44,,204.777314,7.08,,,,,4118.025563,142.36,2024HY,2024
8,603139,陕西康惠制药,-4955.841556,99.84,852.104426,-17.19,,1070.736769,-21.61,,,,,-6878.682751,138.8,2024Q1,2024
9,603139,陕西康惠制药,-36407958.25,64.69,-3503.7984,100.0,,,,,,,,,,2024Q3,2024
10,603139,康惠制药,-17069271.5,-19.36,-1706.9271,-108.86,,-81.8084,-5.22,,,,,3356.7467,214.08,2025HY,2025
11,603139,陕西康惠制药,7319221.19,147788.77,-1656.7774,100.0,,,,,,,,,,2025Q1,2025
12,603139,陕西康惠制药,,73.63,-923.803,48.35,,-2539.3033,132.91,,,,,1552.5818,-81.26,2025Q3,2025
