serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,603139,康惠制药,-0.63,49151.12,11.01,,-6305.59,-272.84,,9.74,-6.24,0.5,-6651.71,-526.81,56.43,-12.83,-6.24,2022FY,2022
2,603139,康惠制药,-0.26,67296.02,36.73,0.0,-2615.86,-58.52,0.0,9.49,-2.72,11525.73,-3265.76,-58.52,27.94,-3.89,-3.4,2023FY,2023
3,603139,康惠制药,0.13,26929.681715,10.81,117.54,1259.9138,-9.52,53.53,10.88,1.29,0.13,1228.6016,17.62,58.15,10.79,1.29,2023HY,2023
4,603139,陕西康惠制药,0.08,12379.2051,5.15,-74.81,820.6331,-6.66,113.01,,0.84,-0.0752,801.6925,2.29,34.58,6.63,0.78,2023Q1,2023
5,603139,陕西康惠制药,-0.04,20293.144918,53.6,-24.64,-337.749268,-244.34,-126.81,,-0.35,-1.1752,-672.967576,-898.21,,-1.66,-0.63,2023Q3,2023
6,603139,康惠制药,-0.9,56163.49,-4.46,11.45,-8962.55,-228.45,-105.54,8.57,-9.92,1.86,-6702.24,-104.56,30.66,-16.0,-7.42,2024FY,2024
7,603139,康惠制药,-0.09,26566.833776,-1.35,108.58,-870.197253,-169.07,-901.07,,-0.92,-0.1479,-1598.663979,-230.12,,-3.28,-1.7,2024HY,2024
8,603139,陕西康惠制药,0.01,12736.706827,2.89,-81.07,108.629901,-86.76,104.15,,0.11,0.0784,-11.910368,-101.49,,0.85,-0.01,2024Q1,2024
9,603139,陕西康惠制药,-0.29,13887.7194,-31.56,-47.73,-2958.6465,-775.99,-240.0,,-3.2,-0.3434,-2848.186,-323.23,,-21.3,-2.92,2024Q3,2024
10,603139,康惠制药,-0.4,,,,262.3544,-362.01,115.22,,-4.53,2.6025,-4282.7146,-167.89,27.56,-16.24,-4.83,2025HY,2025
11,603139,陕西康惠制药,-0.17,12135.3199,-4.72,-78.39,-1723.9346,-1686.98,80.77,,-1.92,-0.1634,-1841.5171,,,-14.21,-2.09,2025Q1,2025
12,603139,陕西康惠制药,-0.93,10860.884,-21.8,,-9230.0339,-211.97,-3618.15,,-11.23,-0.0931,-9344.0974,-228.07,,-84.98,-15.76,2025Q3,2025
