serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,603139,康惠制药,-7678.47,-332.7,,49151.1206,,29236.66,13818.21,3513.4,783.83,1234.5,,48586.6,564.5206,,,,2022FY,2022
2,603139,康惠制药,-2615.86,-58.52,370.0632,67296.0242,36.92,,12168.4,4523.06,,1098.009,,483748383.27,18921.1858,18921.1858,1347.8391,542.5328,2023FY,2023
3,603139,康惠制药,1259.913831,-9.52,48.1238,26929.6817,,,5645.5213,1875.5384,,427.8188,193.4113,8142.2898,18835.5157,,,,2023HY,2023
4,603139,陕西康惠制药,828.1339,,21.4805,12379.2051,,8097.9718,2667.189,772.4781,57.4593,198.2427,,11793.3409,607.3447,,,378.3094,2023Q1,2023
5,603139,陕西康惠制药,110.593976,-43.3,,47222.826633,,,,,,,,,,,,,2023Q3,2023
6,603139,康惠制药,-8962.55,-228.45,716.3734,56163.4853,-16.54,38859.08,14032.45,5597.77,3238.42,831.66,,62559.38,-10783.11,-10783.11,,,2024FY,2024
7,603139,康惠制药,-870.197253,-169.07,,26566.8338,-1.35,,,,,,,,,,,,2024HY,2024
8,603139,陕西康惠制药,-248.29906,-86.76,,,2.89,,,,,,,,,,,,2024Q1,2024
9,603139,陕西康惠制药,-4778.2214,-515.2,,40454.5532,-14.33,,,,,,,,,,,,2024Q3,2024
10,603139,康惠制药,-4020.3602,-362.01,303.6667,24753.2412,-5.25,20296.3628,17202.6154,3909.1758,655.5325,371.3368,4325.5625,26092.8862,20296.3628,-5679.322,5796.5234,5994.7037,2025HY,2025
11,603139,陕西康惠制药,-2745.6185,-1005.77,,,,,,,,,,,,,,,2025Q1,2025
12,603139,陕西康惠制药,-15688.9017,-232.93,,,,26195.3506,10589.2183,4285.6421,2511.2335,511.4091,,44092.8536,,,,,2025Q3,2025
