serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,603439,贵州三力,123904.38,36256.29,0.0,5990.91,4859.39,181661.942045,29.3,17835.35,,26734.85,100.0,7896.39,20500.0,44.82,123904.38,123904.376796,2022FY,2022
2,603439,贵州三力,57137.2248,54626.6434,17572.4949,5150.0,24286.9148,292045.1108,60.76,29470.4509,734.119,121109.7697,10.15,734.119,20500.0,59.84,76374.3959,147031.1173,2023FY,2023
3,603439,贵州三力,48616.9909,32380.9786,17158.7021,4500.0,,190946.29,5.11,192023520.08,,98222411.34,116.56,12775703.86,,55.55,,130784.06,2023HY,2023
4,603439,贵州三力,,,,,,188940.5604,4.01,,,,,,,,,129560.5285,2023Q1,2023
5,603439,贵州三力,54576.684769,32686.753727,13156.292926,4850.0,13648.393933,198839.050076,9.46,18779.295809,,,,1088.604943,20500.0,37.89,65018.768098,136460.745514,2023Q3,2023
6,603439,贵州三力,0.2,72866.9788,32072.2065,,,319210.7891,9.3,,,70380.2409,63.09,,,22.05,,152734.0401,2024FY,2024
7,603439,贵州三力,53622.5815,59577.8112,28855.2336,,,299761.1468,2.64,31449.6985,,122051.3695,-99.88,821.2928,31025.1653,40.72,79915.9497,177709.7773,2024HY,2024
8,603439,贵州三力,,,,,,294660.0361,0.9,,,,,,,,,179109.5327,2024Q1,2024
9,603439,贵州三力,53729.7878,61626.8557,31450.9371,,,305860.748,4.73,29946.7141,,120091.0583,-0.93,,,64.96,87623.1837,185769.6898,2024Q3,2024
10,603439,贵州三力,28354.7177,64799.7908,36437.1508,1950.0145,,293283.573,-8.12,23508.4279,,138380.3752,13.38,,,54.86,75038.8894,147968.2399,2025HY,2025
11,603439,贵州三力,,,,,,314436.913965,-1.5,,,,,,,92.47,,164086.594373,2025Q1,2025
12,603439,贵州三力,,,,,,284816.8533,-10.77,,,,,,,,,154814.6378,2025Q3,2025
