serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,603439,贵州三力,29328.59,89.17,29328.589902,1102.54,120131.64,-26656.01,-1002.07,26656.01,0.0,0.0,0.0,-12.48,-0.47,2022FY,2022
2,603439,贵州三力,276701405.67,-5.65,27670.1406,50222.96,,-61378.1158,-111404.96,,,,,33763.0698,61281.99,2023FY,2023
3,603439,贵州三力,92853823.32,20.03,9285.38,-109.69,,-13203.721,155.98,,,,,-4546.6006,53.71,2023HY,2023
4,603439,贵州三力,-115652726.5,,-135.1707,1.17,,-11207.7228,96.91,,,,,-222.3792,1.92,2023Q1,2023
5,603439,贵州三力,-25052453.63,,18194.272268,-726.25,,-15925.561136,635.69,,,,,-4773.956495,190.56,2023Q3,2023
6,603439,贵州三力,107072584.42,-61.3,10707.2584,-110.92,,-10299.8551,106.7,,,,,-10060.1267,104.22,2024FY,2024
7,603439,贵州三力,22509046.21,-75.76,2250.9046,-64.04,9702.7127,-1788.111,50.88,,,,,-3977.4369,113.17,2024HY,2024
8,603439,贵州三力,12587193.23,110.88,610.7281,48.52,,-1038.5541,-82.51,,,,,1686.5454,133.99,2024Q1,2024
9,603439,贵州三力,-34074370.24,-51.1,8896.17,-261.08,,-6728.2661,197.46,,,,,-5575.3409,163.62,2024Q3,2024
10,603439,贵州三力,1694.732104,-24.71,1694.7321,-23.05,,-9018.2856,122.64,,,,,-29.786,0.41,2025HY,2025
11,603439,贵州三力,-11095.750471,-100.09,-1508.205192,13.59,,-20965.465682,188.95,,,,,11377.920403,-102.54,2025Q1,2025
12,603439,贵州三力,,-43.72,5006.3635,100.0,,,,,,,,,,2025Q3,2025
