serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,603439,贵州三力,0.49,120131.644876,,,20128.423402,32.18,,,17.74,0.714,19463.587255,43.17,71.74,16.76,17.74,2022FY,2022
2,603439,贵州三力,0.71,163497.793,36.1,382.52,29270.2869,45.42,413.33,3.6757829313,21.45,0.55,24565.4275,26.21,73.33,18.07,18.0,2023FY,2023
3,603439,贵州三力,0.25,1.1061,46.74,46.74,100946066.48,57.75,1837530.82,,7.87,0.0,9666.32,58.26,73.79,15.99,7.54,2023HY,2023
4,603439,贵州三力,0.13,34897.759,119.92,-70.95,5493.2724,131.49,-72.71,,4.34,-0.0032,5371.7413,154.0,,15.74,4.15,2023Q1,2023
5,603439,贵州三力,0.14,33884.346162,20.86,3063307.12,5701.995418,43.82,-99.99,,12.13,0.45,5647.53297,65.37,72.45,16.23,11.86,2023Q3,2023
6,603439,贵州三力,0.67,214438.5836,31.16,306.99,27402.781,-6.38,255.55,3.5,17.65,0.36,26797.1194,9.08,69.69,12.78,17.65,2024FY,2024
7,603439,贵州三力,0.29,92022.5877,8319454.08,118.05,11705.9801,15.96,108.86,,7.6,0.0558,11270.8226,16.6,,12.72,7.31,2024HY,2024
8,603439,贵州三力,0.14,42202.4145,20.93,-74.19,5604.8132,2.03,-80.85,,3.74,0.0153,5637.5781,4.95,,13.28,3.15,2024Q1,2024
9,603439,贵州三力,0.18,52688.8368,55.5,-42.74,7707.234,35.17,-34.16,,4.94,0.2078,7436.6705,31.68,69.28,14.63,4.0,2024Q3,2024
10,603439,贵州三力,0.2,70183.101339,-23.73,71.77,8306.096383,-29.04,98.02,,5.29,0.0408,7098.2108,-37.02,,11.83,4.52,2025HY,2025
11,603439,贵州三力,0.1,40858.94897,-3.18,-80.95,4194.677084,-25.16,-84.69,,2.71,-0.036,3858.223718,-31.56,65.65,10.27,2.35,2025Q1,2025
12,603439,贵州三力,0.0,33666.7399,-36.1,-52.03,-227.3991,-58.39,-102.74,0.2,0.08,-0.0,-455.3556,-64.49,,-0.68,-0.29,2025Q3,2025
