serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,603439,贵州三力,19193.8467,32.18,,120131.6449,27.94,33950.47,56262.15,5538.59,-121.44,1786.29,,97416.06,20128.42,20128.42,0.0,0.0,2022FY,2022
2,603439,贵州三力,29270.2869,52.5,1013.7875,163497.793,36.1,43631.1103,79268.4602,8652.5558,-80.5491,3061.1129,1660.4502,136193.1403,33644.4439,33644.4439,-167.7358,-142.8247,2023FY,2023
3,603439,贵州三力,10094.61,,4865505.13,63066.17,,173595408.52,301192808.74,34819379.54,-1283807.37,10412333.87,5831790.14,524567913.44,-11.1544,,-48659.14,3511208.06,2023HY,2023
4,603439,贵州三力,5339.625,131.49,,34897.759,119.92,,16802.346,1564.3269,94.0521,501.4006,,18962.1256,15935.6334,,,,2023Q1,2023
5,603439,贵州三力,,,774.165699,96950.520534,,25625.582382,45943.030304,5886.153101,-11.893461,1847.156172,,79290.0285,18434.6577,,0.0,245.731999,2023Q3,2023
6,603439,贵州三力,27983.7533,-4.32,,214438.5836,4.41,390782357.24,94194.4254,14741.2608,1065.9965,4650.358,2469.2811,390899478.5618,149444.3742,149444.3742,,,2024FY,2024
7,603439,贵州三力,11846.8343,15.96,,92022.5877,45.91,,38255.0061,7364.6586,794.0315,1741.8529,,48155.5491,43867.0386,,,,2024HY,2024
8,603439,贵州三力,5686.053,6.49,,,,,17918.3763,2752.4684,,889.1833,,21560.028,,,,,2024Q1,2024
9,603439,贵州三力,19878.3556,,,144711.4245,49.26,44460.8909,59834.9957,11801.8742,1135.0866,2983.9167,,120216.7641,23438.0412,23326.7825,,,2024Q3,2024
10,603439,贵州三力,8306.0964,-29.04,377.9655,70183.1013,-23.73,,,,,,,28571.7036,41989.3632,9390.9651,,,2025HY,2025
11,603439,贵州三力,4253.665952,-25.19,188.124762,40858.94897,,14034.36998,16457.577139,3983.263364,245.140498,741.605712,,35461.9567,4724.469917,4789.951088,-185.25851,-111.323595,2025Q1,2025
12,603439,贵州三力,8367.7317,-43.72,,103849.8412,-28.24,,,,,,,,,,,,2025Q3,2025
