serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,603567,珍宝岛,100139253.166,111394.1394,100575039.169,50.5089,26082728.068,1167547553.898,1.47,5820.6619,,458752806.65,116.67,,,39.32,330119.7725,709891704.788,2022FY,2022
2,603567,珍宝岛,145404.0157,7957.7491,72088.8305,,,1167547.5539,1.47,31900.2309,233.3601,442521.9914,-99.9,3413.1994,87618.5729,47.45,380969.0781,709891.7048,2023FY,2023
3,603567,珍宝岛,49152.8991,148051.1309,41184.7248,45.6876,9527.9252,1219673.6062,4.46,12061.8975,5988.2138,4755261.29935,3.03,9527.9252,34599.0835,41.83,366017.4795,743303.9506,2023HY,2023
4,603567,珍宝岛,83939.24,347958.08,118053.27,,,1207510.3088,3.42,78770.1258,9.6011,471405.6866,2.32,4359.792,144633.0083,63.66,,736104.6222,2023Q1,2023
5,603567,黑龙江珍宝岛药业,,,,,,1168586.957409,0.09,,,,,,,,,755717.1849,2023Q3,2023
6,603567,珍宝岛,105330.4072,309330.9025,1488080.42,53.7231,14941.5978,1271263.1464,1.98,27816.2437,,442156.5792,47.92,4975.9821,129602.0868,49.15,405998.4438,780061.1827,2024FY,2024
7,603567,珍宝岛,119495.2705,333848.9507,111047.3866,44.5397,,1303682.272414,4.58,27993.8215,,460101.3496,20.0,,,52.1,420302.2748,794184.511205,2024HY,2024
8,603567,黑龙江珍宝岛药业股份有限公司,,,,,,1288036.447,3.32,,,,,,,,,784181.418,2024Q1,2024
9,603567,珍宝岛,94616.999327,328970.90476,128205.667808,,,1270254.942532,8.7,22956.46455,,445295.860907,,,136572.025,35.06,401920.605167,824959.081625,2024Q3,2024
10,603567,珍宝岛,9322.8572,45971.0938,101661.0104,23.7754,,1231764.9223,-4.06,10013.1725,,270324.1495,-41.25,1213.0188,44513.3611,58.83,414937.2183,772288.7234,2025HY,2025
11,603567,珍宝岛,,,,,,1286839.444559,-0.09,,,,,,,,,836612.330381,2025Q1,2025
12,603567,珍宝岛,,,,,,1179655.375125,-7.21,,,,,,,,,728739.446018,2025Q3,2025
