serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,603567,珍宝岛,-326792760.53,24.69,-32679.2761,0.02,,283931024.95,-210.25,,,,,-418944606.7,310.22,2022FY,2022
2,603567,珍宝岛,-478244805.78,24.69,-32679.2761,-53.11,50620.3486,17642.7333,28.67,6700.0,9390.0,102500.0,151407.6493,76569.237,124.44,2023FY,2023
3,603567,珍宝岛,-18380.10023,-759.62,-18380.1002,90.06,199075.7135,-2833.9302,13.89,4738.0321,0.0,168500.0,160000.0,805.9424,-3.95,2023HY,2023
4,603567,珍宝岛,-157471336.27,,-15327.7857,97.34,96355.0607,1884.336,-11.97,119.7,,120500.0,119507.8833,-2303.6839,14.63,2023Q1,2023
5,603567,黑龙江珍宝岛药业,,,-31195.391196,154.66,,9915.982845,-49.16,,,,,1109.604591,-5.5,2023Q3,2023
6,603567,珍宝岛,16430.840191,134.36,16430.8402,-41.51,52724.6057,-10602.18,26.78,5500.0,13703.7891,110500.0,90500.0,-45416.25,114.72,2024FY,2024
7,603567,珍宝岛,-211292963.43,-14.96,-21129.296343,82.56,0.0,-3878.129614,15.15,0.0,0.0,0.0,0.0,-585.609144,2.29,2024HY,2024
8,603567,黑龙江珍宝岛药业股份有限公司,-80416560.36,48.93,-10329.6908,128.45,,-4055.6215,50.43,,,,,6343.6562,-78.88,2024Q1,2024
9,603567,珍宝岛,-50300.990025,,-17189.869424,34.17,,2638.796891,-5.25,,,,,-35749.917492,71.07,2024Q3,2024
10,603567,珍宝岛,-241951052.39,-14.51,-6210.1206,7.67,,-56476.7214,69.77,,,,,-18258.4743,22.56,2025HY,2025
11,603567,珍宝岛,,,-26669.408129,100.0,,,,,,,,,,2025Q1,2025
12,603567,珍宝岛,,,22327.190947,-26.34,,-58504.715017,69.03,,,,,-48580.848014,57.32,2025Q3,2025
