serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,603567,珍宝岛,185390657.13,-44.18,65951.8035,421414885.97,,347462794.538,60830753.826,32198995.947,13532370.748,7094800.997,4450.5271,461124166.5831,214781314.26,29848.4505,5079.3906,6016.4502,2022FY,2022
2,603567,珍宝岛,47274.0021,154.93,9510.5904,3084078500.0,631.84,16614.6374,66824.4428,33366.2238,13516.7737,8022.1764,1074.6263,123933.7497,47834.5708,47834.5708,1448.4628,9510.5904,2023FY,2023
3,603567,珍宝岛,34399.7263,43.84,2677.3605,258692.2991,4.37,178285.8483,41487.4282,15018.4468,6550.8405,2407.6774,1979.6933,245729.9344,41289.3751,41363.8305,-3792.6179,-186.403,2023HY,2023
4,603567,珍宝岛,25456.7799,,1991.7984,,,85442.2702,25071.9922,6464.0206,3227.845,1404.0635,,121610.1915,,,52.8581,-3016.6769,2023Q1,2023
5,603567,黑龙江珍宝岛药业,476485.00755,,,,,,,,,,,,583110.70306,,,,2023Q3,2023
6,603567,珍宝岛,43821.619563,-7.3,5295.2603,270393.433417,-13.84,121505.399142,29163.206552,30443.704996,12499.821995,3799.123271,12499.821995,156047.146745,148888.033475,148888.033475,-9856.6058,-10185.9648,2024FY,2024
7,603567,珍宝岛,39333.2,-16.8,29218173.34,166222.9102,7.1,,16233.433762,14696.940577,5732.598222,1052.711223,29568397.25,29606112.9338,-221716.6836,,,,2024HY,2024
8,603567,黑龙江珍宝岛药业股份有限公司,29327.2864,15.2,1301.8284,,,46211.4387,9964.0998,7195.0666,2612.9854,395.7691,,66379.3596,,,-2270.7387,-5908.0434,2024Q1,2024
9,603567,珍宝岛,39643.463866,83.22,,202939.671078,,,,,,,,,,,,,2024Q3,2024
10,603567,珍宝岛,-7828.9896,-119.9,990.2328,71341.0892,-57.04,34730.7684,7463.4762,14644.1085,6997.3702,1077.3657,1746.3701,209816471.72,31514573.57,-11440.8659,-3133.7352,-13527.4532,2025HY,2025
11,603567,珍宝岛,-37563.890485,-193.81,,,,,,,,,,,,,,,2025Q3,2025
