serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,603858,步长制药,214869.027,1559821259.31,34539.2689,72644.955,123509.7025,21951881623.86,10.67,8897.1998,0.0,6961280786.53,12.47,37652.1161,63876.4273,58.64,590845.7286,14990600837.33,2022FY,2022
2,603858,步长制药,69413.0642,33999.3292,493035.9785,35409.2434,,2089229.7542,-4.83,24011.6791,,927530.3947,-4.83,23799.838,,44.39,18639.9516,1161699.3595,2023FY,2023
3,603858,步长制药,256894.5766,138069.5533,395315.3204,45762.6608,128756.6492,2254551.8093,2.7,212868.4633,,1061403.4331,4.49,32499.136,,54.64,786409.5013,1204637.2166,2023HY,2023
4,603858,步长制药,162600.816078,149192.070143,388970.65699,97644.955,,2227178.397182,1.46,227653.176392,,953154.886351,-1.41,27577.401234,48161.0879,42.8,863502.67356,1281557.123828,2023Q1,2023
5,603858,步长制药,55883.730244,125382.574703,465094.420059,37527.049193,131969.685188,2061894.764456,-6.07,174385.472021,17323.700941,855671.640231,-11.07,,39630.467068,69.56,,1222543.496632,2023Q3,2023
6,603858,步长制药,,89329.8254,21491.5729,,,1932850.9108,-7.48,4809.0,,1014615.5653,9.39,,,52.49,,1021646.4921,2024FY,2024
7,603858,步长制药,126255.6222,102148.6822,479995.244,35113.8992,,2073147.553,-0.77,241747.9591,,316445.8222,-70.19,15852.0728,18319.1625,27.33,816002.2817,1128848.104,2024HY,2024
8,603858,步长制药,,,,,,2130641.716089,-4.33,,,,,,,,,1131967.943752,2024Q1,2024
9,603858,步长制药,,,,,,2014886.903365,-3.56,,,,,,,,,1080340.656521,2024Q3,2024
10,603858,步长制药,168316.908463,45492.211297,0.0,56015.405504,0.0,1997688.2311,3.35,0.0,44079.344075,940648.888318,23.35,44079.344075,144203.675213,47.1,605162.3464,1074401.2327,2025HY,2025
11,603858,步长制药,143221.853395,52177.199882,440962.066177,70801.222548,111140.567906,1983696.520527,2.63,260748.074595,26379.748756,978602.41202,2.63,,49148.390275,49.33,,1047503.231412,2025Q1,2025
12,603858,步长制药,,,,,,1957030.5482,1.25,,,,,,,,,1057298.9444,2025Q3,2025
