serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,603858,步长制药,-1.498,1495125.27,,,-165687.82,-228.51,,,-12.37,0.0,-172874.16,-245.2,71.74,0.0,-12.9,2022FY,2022
2,603858,步长制药,0.2884,1324513.3304,-11.38,337.78,31897.3325,-100.0,78.19,1161699.3595,2.66,-4.45,29158.3347,-100.0,68.24,2.41,2.43,2023FY,2023
3,603858,步长制药,0.6746,695767.74,-1.98,97.95,74613.82,-8.83,63.89,,5.86,0.2422,60901.6898,-5.4,0.0,0.0,4.78,2023HY,2023
4,603858,步长制药,0.4116,351495.036996,9.83,-76.49,45526.903372,5.91,127.48,,3.55,-0.0787,37695.940685,34.8,69.79,12.95,2.94,2023Q1,2023
5,603858,步长制药,0.1618,302554.504121,-28.08,-56.52,17900.538496,-60.09,-76.01,,1.48,-0.3722,19142.492401,-55.95,,5.92,1.57,2023Q3,2023
6,603858,步长制药,-0.511,1100579.49,-23.36,-18.96,-55379.7939,-273.62,-34.66,1021646.4921,-5.07,0.33,-49270.1984,-268.97,64.74,41.18,-5.07,2024FY,2024
7,603858,步长制药,0.211,543167.2308,-23.35,105.7,231416651.7,-71.52,2029593.74,10.0036,1.97,0.0,220981834.0,-63.71,55.43,3.33,1.97,2024HY,2024
8,603858,步长制药,0.1035,264055.694544,-24.88,-80.06,11401.555169,-74.96,-64.26,,0.98,0.0673,10085.46824,-73.25,,4.32,0.89,2024Q1,2024
9,603858,步长制药,0.0756,308273.128714,1.89,-43.25,8144.65492,-54.5,-100.0,,0.75,0.6511,13791.829019,-27.95,,2.64,1.28,2024Q3,2024
10,603858,步长制药,0.5934,566383.625389,4.27,4.27,62770.125733,171.24,171.24,10.744,5.99,0.9126,61883.7568,180.04,66.57,11.07,5.9,2025HY,2025
11,603858,步长制药,0.2899,278494.698148,5.47,-74.7,30726.108817,169.49,155.48,,2.97,0.6397,29958.826804,197.05,61.8,11.03,2.86,2025Q1,2025
12,603858,步长制药,0.2282,280474.5065,-9.02,-50.48,24062.2461,195.44,-61.67,,8.23,0.773,23626.8093,71.31,62.31,8.58,2.23,2025Q3,2025
