serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,603858,步长制药,-3069969242.66,-39.34,,1010727.7375,,0.0,7484205965.34,34405.0738,,34405.0738,0.0,723306.6935,0.0,-138652.2655,316233.7712,1713.1246,2022FY,2022
2,603858,步长制药,39813.839,-100.0,2738.9978,917158.3619,-11.41,,636884.1922,99594.112,9166.3096,33508.1014,,779152.7152,140744.6445,,,,2023FY,2023
3,603858,步长制药,74613.825,-8.83,181822601.9,695767.7366,,67170.031,337886.79,47456.49,3637.72,10030.32,,466181.351,87739.2545,,-9457187.04,7484315.06,2023HY,2023
4,603858,步长制药,43593.904403,5.91,10193.6895,351495.036996,,106192.08842,171189.654736,22383.986229,1499.99273,3683.815185,,304949.5373,56739.1892,,,,2023Q1,2023
5,603858,步长制药,83123.358408,-26.97,,998322.240698,-11.69,,484020.248041,73772.694186,6481.488289,15100.989322,,579375.4198,418946.8209,,,,2023Q3,2023
6,603858,步长制药,554545.2426,-34.66,4808533.32,1346412.8329,-18.96,1149344266.97,838109112.37,235909954.34,78001929.66,39600569.34,40861566.9,1980379165.29,554545.2426,554545.2426,-1001917532.82,3069472.48,2024FY,2024
7,603858,步长制药,18113.52,-68.98,,543167.2308,-21.93,,206841.2415,40587.7042,5937.8205,12202.727,,265569.4932,277597.7376,,,,2024HY,2024
8,603858,步长制药,8769.887186,-74.96,,,-24.88,,,,,,,,,,,,2024Q1,2024
9,603858,步长制药,62770.1257,171.24,4976.7597,566383.6254,4.27,213099.496796,223934.054733,39472.79944,5732.653497,8419.663641,0.0,284826.144309,74959.154575,74959.1546,260.1071,3427.6981,2025HY,2025
10,603858,步长制药,28989.020409,230.55,,278494.698148,,106395.513414,109008.244658,19231.406859,2747.007872,4514.586988,,241896.7598,38281.481082,37612.858045,,,2025Q1,2025
11,603858,步长制药,79112.8419,,6932.2635,846858.1319,,319219.3227,334125.4789,63358.214,8523.4692,15362.7979,,740589.2827,104910.1858,102057.9044,,,2025Q3,2025
