serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,603998,方盛制药,28585.15,308.12,0.0,179200.0926,13.57,359452800.0,10787654.76,16538741.45,248611.11,527203.24,1251455.46,387346323.98,28573943.08,28573943.08,,,2022FY,2022
2,603998,方盛制药,18682.3362,-34.64,0.0,162854.2252,-9.12,0.0,65753.1359,14930.823,0.0,10792.5712,0.0,0.0,19644.5611,20333.8297,0.0,0.0,2023FY,2023
3,603998,方盛制药,69684.827,68.86,,113824.8105,-2.07,25272.6479,,,,,,25272.6479,0.0,0.0,0.0,0.0,2023HY,2023
4,603998,方盛制药,6303.712391,,754.815612,43675.957382,,14077.664669,17991.158082,3614.38001,129.960808,1759.085946,,37572.2495,6858.5235,,15.624069,435.986577,2023Q1,2023
5,603998,方盛制药,14061.921155,-45.27,,,,,,,,,,,,,,,2023Q3,2023
6,603998,方盛制药,25521.62,36.61,,1709800893.9,8.94,500368336.15,70291.4,3076.09,34.35,13921.42,30981768.79,531437428.2,25521.62,,,,2024FY,2024
7,603998,方盛制药,13684.466774,28.23,1727.311,91024.8983,-20.03,15279.7707,38033.817142,6262.722026,379.532861,6135.358364,979.753,67070.9541,25681.2552,,,,2024HY,2024
8,603998,方盛制药,6826.490222,8.29,,,,,,,,,,,,,,,2024Q1,2024
9,603998,方盛制药,22739.674119,61.71,,134796.317104,,36589.482575,54760.580146,10365.47748,671.476125,10338.936279,,112725.9526,22070.3645,,,,2024Q3,2024
10,603998,方盛制药,16923.866658,23.67,,83424.897563,-8.35,172247444.96,,,,,,172247444.96,18649.331071,18649.331071,,,2025HY,2025
11,603998,方盛制药,8872.45,29.97,,,-4.62,,14101.88,3254.72,,3187.96,,20544.56,9930.52,9916.83,37.69,286.49,2025Q1,2025
12,603998,方盛制药,26535.195055,15.09,,1253315.30211,829.78,36000.992499,42025.624142,10020.531056,878.847187,10808.033317,,99734.0282,29982.876083,,,,2025Q3,2025
