serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,None,None,,63.3,126997.8522,100.0,,,,,,,,,,2022FY,2022
2,None,维康药业,,,5700.668059,100.0,,,,,,,,,,2022Q3,2022
3,None,None,1735402809.71,165027.2492,121075.0038,123.06,,18824.5484,19.13,,,,,-41508.8444,-42.19,2023FY,2023
4,None,九芝堂,-26932.04709,-87.61,-12914.663974,7.25,110286.118652,-165170.638748,92.75,7676.437795,126157.513079,0.0,0.0,0.0,-0.0,2023Q1,2023
5,None,九芝堂,-160744.452366,-27.98,4566.84618,-6.57,384950.672186,-61241.860677,88.07,5117783.95314,3578695.76059,0.0,0.0,-12866.089954,18.5,2023Q3,2023
6,None,None,-3876235893.15,50.5,429700.3142,-110.76,,-119900.1046,30.9,,,,,-697773.5164,179.85,2024FY,2024
7,None,None,-631661756.19,0.0,326200.0,-3661.15,0.0,-20558.2688,230.74,0.0,0.0,0.0,0.0,-314551.4929,3530.41,2024HY,2024
8,None,东阿阿胶,965590589.44,-96.33,63847.0331,66.12,112380.618063,40503.2957,41.95,347062.245144,192264.443763,0.0,0.0,-7791.2698,-8.07,2024Q1,2024
9,None,万邦德,-144384494.22,33.85,13622.4725,-94.48,13085.117726,-19323.3026,134.02,12381.576123,11594.676123,9825.072,6542.0,-8717.5083,60.46,2024Q3,2024
10,None,东阿阿胶,38768.397274,-147.63,-30412.767676,-81.77,103143.652328,69356.03078,186.47,330280.0,397000.0,0.0,0.0,-1748.6583,-4.7,2025Q1,2025
11,None,东阿阿胶,51020.91,181.7,130973.87,256.68,109055.373846,81312.03,159.35,1363.940836,87800.0,20.0,10.0,-161260.04,-316.04,2025Q3,2025
12,None,None,-39585718.76,-190.51,,,,,,,,,,,,FY,
