serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,None,None,0.41,108767.3295,,508.57,11610.1898,,214.25,,10.42,4.4848,50205.4609,-18.14,,10.67,8.75,2022FY,2022
2,None,维康药业,0.2552,17872.615813,5.39,,3694.521413,27.63,,,,0.3938,3603.728455,26.89,,20.67,,2022Q3,2022
3,None,None,0.41,95398.1877,-12.29,-59.75,26460.9355,10.0,-8.36,,12.71,1.876,100162.02,15.55,30.95,32.4,12.47,2023FY,2023
4,None,九芝堂,0.1891,108912.362124,3.39,0.13,16184.880383,17.09,39.4,3.923,3.98,-5787.136646,15992.548345,23.34,78.51,14.86,2.37,2023Q1,2023
5,None,九芝堂,0.3373,237023.182402,-11.51,,28873.576229,17.47,,,0.61,23.0443,27031.56367,6.5,54.73,11.31,7.66,2023Q3,2023
6,None,None,2.66,4003330.0815,2.36,12344.56,474941.55,16.02,59253.7,,11.99,2.4066,452305.7538,20.18,65.93,28.08,11.65,2024FY,2024
7,None,None,1.79,2045528.628752,0.72,0.73,58278.47,12.76,-22.58,14.06,22.58,1.54,102096.6055,102096.6055,45.6781820532,15.1497232815,7.93,2024HY,2024
8,None,东阿阿胶,0.5488,145338.3434,35.95,52.35,35340.3545,53.43,33.56,,0.77,0.9915,32863.617,54.79,84.56,22.33,0.68,2024Q1,2024
9,None,万邦德,0.013,32169.3193,15.16,-98.43,800.1886,120.76,-98.63,4.5625,-0.72,23121.6685,-1376.3602,65.22,74.35,9.23,4.07,2024Q3,2024
10,None,东阿阿胶,0.6615,171852.447925,18.24,-95.71,42497.659742,20.25,-91.05,,2.08,-4.716109,41636.247757,26.69,68.34,24.73,4.04,2025Q1,2025
11,None,东阿阿胶,0.7083,1715653.35,8.5,,45610.27,10.27,,,4.41,3313.172789,36762.21,0.06,46.62,-6.72,0.6,2025Q3,2025
12,None,None,0.0908,194142.0112,,,5052.5319,16.0,,,5.02,,3734.4168,7.93,,2.6,5.02,FY,
