serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600080,,,,,,,1974418631.97,,,,,,,,,,,2023-06-30,2023
1,600080,,,,,,,1974418631.97,,,,272531033.09,,,,,,,,2023
1,600080,,,,,,,2020154282.8,,,,314097184.9,,,,,,,,2023
1,600080,,,,,,,1939197951.94,,,,,,,,,,,,2023
1,600080,,,,,,,1939197951.94,,,,216964650.78,,,,,,,,2023
1,600080,,,,,,,2058831041.9,,,,336592490.97,,,,,,,,2023
1,600080,,,,,,,2108551141.95,,,,446905047.46,,,,,,,,2024
1,600080,,,,,,,1815013204.77,,,,245780484.96,,,,,,,,2024
1,600080,,,,,,,2108551141.95,,,,,,,,,,,,2024
1,600080,,,,,,,1787904844.64,,,,270911029.39,,,,,,,,2024
1,600080,,,,,,,1787904844.64,,,,,,,,,,,,2024
1,600080,,,,,,,1859779651.33,,,,321630289.35,,,,,,,,2024
1,600080,,,,,,,1991845145.12,,,,392223322.46,,,,,,,,2025
1,600080,,,,,,,1972071163.91,,,,367094395.65,,,,,,,,2025
1,600080,,,,,,,1972071163.91,,,,,,,,,,,,2025
1,600080,,,,,,,1929620956.56,,,,,,,,,,,,2025
1,600080,,,,,,,1929620956.56,,,,327908540.13,,,,,,,,2025
1,600080,,,,,,,1956751621.65,,,,324817169.2,,,,,,,,2025
