serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600080,,274370558.76,,52578993.55,,,229868264.17,,,,,,-8076698.96,,2023-12-31,2023
1,600080,,99342956.2,,-38760097.98,,,39366089.57,,,,,,98736964.61,,2023-12-31,2023
1,600080,,,,-34391321.39,,,,,,,,,,,2023-12-31,2023
1,600080,,37938239.13,,-34391321.39,,,77884051.05,,,,,,-5554490.53,,2023-12-31,2023
1,600080,,6902170.3,,-11949314.66,,,-48514725.24,,,,,,67366210.2,,2023-12-31,2023
1,600080,,187094086.5,,60548425.38,,,137760856.38,,,,,,-11215195.26,,2024-12-31,2024
1,600080,,-256741813.57,,-49212848.23,,,-100782751.69,,,,,,-106746213.65,,2024-12-31,2024
1,600080,,-317166483.92,,-23099372.07,,,-177977985.07,,,,,,-116089126.78,,2024-12-31,2024
1,600080,,,,-23099372.07,,,,,,,,,,,2024-12-31,2024
1,600080,,-363115098.7,,22340708.43,,,-246291188.28,,,,,,-116065246.78,,2024-12-31,2024
1,600080,,-219469944.51,,-121368520.52,,,-132574698.96,,,,,,34473274.97,,2025-12-31,2025
1,600080,,-281812189.28,,10858725.2,,,-192303593.87,,,,,,-100367320.61,,2025-12-31,2025
1,600080,,,,-49212848.23,,,,,,,,,,,2025-12-31,2025
1,600080,,,,-80933428.99,,,,,,,,,,,2025-12-31,2025
1,600080,,-199187643.01,,-80933428.99,,,-92935173.03,,,,,,-25319040.99,,2025-12-31,2025
1,600080,,-102453210.95,,23212140.36,,,-53103754.27,,,,,,8371831.95,,2025-12-31,2025
