serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600080,,0.1059,668180334.76,,,37738016.78,,,,2.2,,,,,,,2020Q4,2020
2,600080,,-0.0487,534036500.95,,,-18160452.12,,,,-1.08,,,,,,,2021Q4,2021
3,600080,,0.0896,579374501.21,,,33459505.16,,,,2.0,,,,,,,2022Q4,2022
4,600080,,,119199841.13,,,9280142.36,,,,,,11893928.31,,,,,2023Q1,2023
5,600080,,,139519491.64,,,12190677.02,,,,,,8197743.0,,,,,2023Q2,2023
6,600080,,,164431041.62,,,10358613.59,,,,,,11648285.02,,,,,2023Q3,2023
7,600080,,,156224126.82,,,1630072.19,,,,,,-27926998.52,,,,,2023Q4,2023
1,600080,,0.1059,668180334.76,,,37738016.78,,,,2.2,,,,,,,2020Q4,2020
2,600080,,-0.0487,534036500.95,,,-18160452.12,,,,-1.08,,,,,,,2021Q4,2021
3,600080,,0.0896,579374501.21,,,33459505.16,,,,2.0,,,,,,,2022Q4,2022
4,600080,,,119199841.13,,,9280142.36,,,,,,11893928.31,,,,,2023Q1,2023
5,600080,,,139519491.64,,,12190677.02,,,,,,8197743.0,,,,,2023Q2,2023
6,600080,,,164431041.62,,,10358613.59,,,,,,11648285.02,,,,,2023Q3,2023
7,600080,,,156224126.82,,,1630072.19,,,,,,-27926998.52,,,,,2023Q4,2023
8,600080,,0.09,381087757.88,,,33459505.16,,,,,,,,,,,,2023
1,600080,,,119199841.13,,,,,,,,,,,,,,2022Q4,2022
2,600080,,,108259512.44,,,,,,,,,,,,,,2023Q4,2023
3,600080,,0.0125,108259512.44,,,4680935.36,,,,0.2776,,,,,,,,2023
1,600080,,0.0575,258719332.77,,,21470819.38,,,,1.29,,,,,,,2023Q4,2023
1,600080,,,258719332.77,,,,,,,,,,,,,,2022Q4,2022
2,600080,,,255369543.71,,,,,,,,,,,,,,2023Q4,2023
3,600080,,0.0082,255369543.71,,,3042638.0,,,,0.18,,,,,,,,2023
1,600080,,,423150374.39,,,,,,,,,,,,,,2022Q4,2022
2,600080,,,402805031.75,,,,,,,,,,,,,,2023Q4,2023
3,600080,,0.0009,147435488.04,,,347660.3,,,,0.02,,,,,,,,2023
1,600080,,-0.0487,534036500.95,,,-18160452.12,,,,-1.08,,,,,,,2021Q4,2021
2,600080,,0.0896,579374501.21,,,33459505.16,,,,2.0,,,,,,,2022Q4,2022
3,600080,,-0.1149,565403410.11,,,-42890580.25,,,,-2.58,,,,,,,2023Q4,2023
4,600080,,,108259512.44,,,4680935.36,,,,,,2350427.63,,,,,2024Q1,2024
5,600080,,,147110031.27,,,-1638297.36,,,,,,15061794.39,,,,,2024Q2,2024
6,600080,,,147435488.04,,,347660.3,,,,,,2603942.65,,,,,2024Q3,2024
7,600080,,,162598378.36,,,-46280878.55,,,,,,-17011445.52,,,,,2024Q4,2024
8,600080,,-0.11,565403410.11,,,-42890580.25,,,,,,,,,,,,2024
1,600080,,,108259512.44,,,,,,,,,,,,,,2023Q4,2023
2,600080,,,115789270.68,,,,,,,,,,,,,,2024Q4,2024
3,600080,,0.0648,115789270.68,,,23962427.14,,,,1.5068,,,,,,,,2024
1,600080,,-0.0487,534036500.95,,,-18160452.12,,,,-1.08,,,,,,,2021Q4,2021
2,600080,,0.0896,579374501.21,,,33459505.16,,,,2.0,,,,,,,2022Q4,2022
3,600080,,-0.1149,565403410.11,,,-42890580.25,,,,-2.58,,,,,,,2023Q4,2023
4,600080,,,108259512.44,,,4680935.36,,,,,,2350427.63,,,,,2024Q1,2024
5,600080,,,147110031.27,,,-1638297.36,,,,,,15061794.39,,,,,2024Q2,2024
6,600080,,,147435488.04,,,347660.3,,,,,,2603942.65,,,,,2024Q3,2024
7,600080,,,162598378.36,,,-46280878.55,,,,,,-17011445.52,,,,,2024Q4,2024
1,600080,,,255369543.71,,,,,,,,,,,,,,2023Q4,2023
2,600080,,,245965482.81,,,,,,,,,,,,,,2024Q4,2024
3,600080,,0.0261,245965482.81,,,9462893.79,,,,0.6,,,,,,,,2024
1,600080,,0.0082,255369543.71,,,3042638.0,,,,0.18,,,,,,,2024Q4,2024
1,600080,,,402805031.75,,,,,,,,,,,,,,2023Q4,2023
2,600080,,,418931219.77,,,,,,,,,,,,,,2024Q4,2024
3,600080,,0.0579,172965736.96,,,21307271.49,,,,1.35,,,,,,,,2024
1,600080,,,115789270.68,,,,,,,,,,,,,,2024Q4,2024
2,600080,,,107322617.51,,,,,,,,,,,,,,2025Q4,2025
3,600080,,0.0034,107322617.51,,,1215305.87,,,,0.0778,,,,,,,,2025
1,600080,,0.0896,579374501.21,,,33459505.16,,,,2.0,,,,,,,2022Q4,2022
2,600080,,-0.1149,565403410.11,,,-42890580.25,,,,-2.58,,,,,,,2023Q4,2023
3,600080,,0.2088,585461786.23,,,74611329.88,,,,4.79,,,,,,,2024Q4,2024
4,600080,,,115789270.68,,,23962427.14,,,,,,4239492.97,,,,,2025Q1,2025
5,600080,,,130176212.13,,,-14499533.35,,,,,,5791886.76,,,,,2025Q2,2025
6,600080,,,172965736.96,,,21307271.49,,,,,,7337339.52,,,,,2025Q3,2025
7,600080,,,166530566.46,,,43841164.6,,,,,,-3593835.51,,,,,2025Q4,2025
8,600080,,0.2088,585461786.23,,,73600530.37,,,,,,,,,,,,2025
1,600080,,0.0896,579374501.21,,,33459505.16,,,,2.0,,,,,,,2022Q4,2022
2,600080,,-0.1149,565403410.11,,,-42890580.25,,,,-2.58,,,,,,,2023Q4,2023
3,600080,,0.2088,585461786.23,,,74611329.88,,,,4.79,,,,,,,2024Q4,2024
4,600080,,,115789270.68,,,23962427.14,,,,,,4239492.97,,,,,2025Q1,2025
5,600080,,,130176212.13,,,-14499533.35,,,,,,5791886.76,,,,,2025Q2,2025
6,600080,,,172965736.96,,,21307271.49,,,,,,7337339.52,,,,,2025Q3,2025
7,600080,,,166530566.46,,,43841164.6,,,,,,-3593835.51,,,,,2025Q4,2025
1,600080,,,245965482.81,,,9462893.79,,,,,,,,,,,2025Q4,2025
2,600080,,0.0176,,,,6789957.3,,,,0.4,,,,,,,,2025
1,600080,,,245965482.81,,,1097818.35,,,,,,,,,,,2024Q4,2024
2,600080,,,241292963.66,,,7648101.7,,,,,,,,,,,2025Q4,2025
3,600080,,0.0176,241292963.66,,,6195011.43,,,,0.4,,,,,,,,2025
1,600080,,,418931219.77,,,,,,,,,,,,,,2024Q4,2024
2,600080,,,383908363.63,,,,,,,,,,,,,,2025Q4,2025
3,600080,,0.0802,142615399.97,,,28286232.43,,,,1.8,,,,,,,,2025
