serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600080,,37738016.78,,,668180334.76,,,,,,,,,,,,,2020Q4,2020
2,600080,,-18160452.12,,,534036500.95,,,,,,,,,,,,,2021Q4,2021
3,600080,,33459505.16,,,579374501.21,,,,,,,,,,,,,2022Q4,2022
4,600080,,9280142.36,,,119199841.13,,,,,,,,,,,,62.11,2023Q1,2023
5,600080,,12190677.02,,,139519491.64,,,,,,,,,,,,-12.25,2023Q2,2023
6,600080,,10358613.59,,,164431041.62,,,,,,,,,,,,-157.95,2023Q3,2023
7,600080,,1630072.19,,,156224126.82,,,,,,,,,,,,-809.42,2023Q4,2023
1,600080,,37738016.78,,,668180334.76,,,,,,,,,,,,,2020Q4,2020
2,600080,,-18160452.12,,562012.05,534036500.95,,134195103.3,315056505.52,49722190.26,-675096.49,15655776.2,12799772.97,,41526965.57,-26053667.02,-27281677.77,-624235.44,2021Q4,2021
3,600080,,33459505.16,,1568795.62,579374501.21,,137969958.95,346559179.93,63176012.16,-2908058.82,15493151.13,11272780.59,,18294382.66,49051541.02,-22732724.41,-9540878.39,2022Q4,2022
4,600080,,9280142.36,,,119199841.13,,,,,,,,,,,,62.11,2023Q1,2023
5,600080,,12190677.02,,,139519491.64,,,,,,,,,,,,-12.25,2023Q2,2023
6,600080,,10358613.59,,,164431041.62,,,,,,,,,,,,-157.95,2023Q3,2023
7,600080,,1630072.19,,,156224126.82,,,,,,,,,,,,-809.42,2023Q4,2023
8,600080,,33459505.16,,31692690.36,381087757.88,,137969958.95,346559179.93,63176012.16,-2908058.82,15493151.13,14141859.6,,17111357.76,47900957.84,214079.57,20243158.47,,2023
1,600080,,,,,119199841.13,,28949274.4,69157562.53,13771190.32,-4203636.81,1632054.2,3032861.69,,,,,,2022Q4,2022
2,600080,,,,,108259512.44,,28712783.18,61913455.7,17708438.35,-837223.71,2089175.64,2127342.44,,,,,,2023Q4,2023
3,600080,,4680935.36,,-98.82,108259512.44,,,,,263135.39,,-50.42,,4976976.11,4906459.95,,495311.22,,2023
1,600080,,21470819.38,,,258719332.77,,,,,,,,,,,,,2023Q4,2023
1,600080,,,,802788.11,258719332.77,,60505110.86,148322406.91,31581916.2,-2816149.28,3961559.85,4622592.32,,25270758.02,24632908.02,-9693295.9,493304.24,2022Q4,2022
2,600080,,,,31811.9,255369543.71,,61148497.55,147043490.63,35157834.72,-745097.02,5233339.12,4539148.8,,23230613.53,5065842.59,-8828359.57,8094210.38,2023Q4,2023
3,600080,,3042638.0,,4144738.46,255369543.71,,61148497.55,147043490.63,35157834.72,-745097.02,5233339.12,7108492.82,,22035294.68,3859654.77,214079.57,11688791.43,,2023
1,600080,,,,,423150374.39,,99311099.49,,,,,44088627.51,,,,,,2022Q4,2022
2,600080,,,,,402805031.75,,92914153.05,,,,,60832.03,,,,,,2023Q4,2023
3,600080,,347660.3,,-445042.56,147435488.04,,,240889890.91,51627762.33,-1573662.54,8860272.09,6864660.77,,20556716.0,1936033.53,,6404211.78,,2023
1,600080,,-18160452.12,,,534036500.95,,,,,,,,,,,-95471.33,,2021Q4,2021
2,600080,,33459505.16,,1568795.62,579374501.21,,137969958.95,346559179.93,63176012.16,-2908058.82,15493151.13,11272780.59,,18294382.66,49051541.02,-667970.3,-9540878.39,2022Q4,2022
3,600080,,-42890580.25,,933439.72,565403410.11,,133752037.9,342430742.13,72479416.89,-1196190.91,15089765.04,8339268.82,,-9956579.77,-18087558.0,,8870796.43,2023Q4,2023
4,600080,,4680935.36,,,108259512.44,,,,,,,,,,,,49.53,2024Q1,2024
5,600080,,-1638297.36,,,147110031.27,,,,,,,,,,,,786.24,2024Q2,2024
6,600080,,347660.3,,,147435488.04,,,,,,,,,,,,-195.35,2024Q3,2024
7,600080,,-46280878.55,,,162598378.36,,,,,,,,,,,,195.59,2024Q4,2024
8,600080,,-42890580.25,,18229176.39,565403410.11,,133752037.9,342430742.13,72479416.89,-1196190.91,15089765.04,5461319.0,,-32899876.34,-41054617.26,-157058.12,-8360161.3,,2024
