serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,000999,,,,,,,24541900747.88,,,,,,,,,,,2021Q4,2021
2,000999,999.0,3149708926.94,4087323874.81,2498868530.92,487306781.29,946091940.81,27122781699.16,,1449467839.06,,9589366999.99,,1012272187.52,168500000.0,,13761435388.12,17533414699.17,2022Q4,2022
3,000999,,5330115565.97,6857416276.69,4337017034.56,450323591.23,1082876774.88,37879854016.08,,2380306638.5,,14728791237.19,,1611619878.96,1434057876.1,,14912465539.0,23151062778.89,2023Q1,2023
4,000999,999.0,6699616254.8,6582472310.66,4576504878.15,234515289.98,962899594.28,38865562543.81,,2346177980.74,,15891098820.27,,1435963040.58,1026514113.95,,14650214048.14,22974463723.54,2023Q2,2023
5,000999,,5599337.8,,131983339.06,,,38698060595.21,,2309148262.68,,15071191517.52,,1372650024.35,838563379.05,,15175689235.16,23626869077.69,2023Q3,2023
6,000999,999.0,,,131983339.06,,-21400113.54,40148455933.08,,2365249088.7,,15886581996.66,,1650152413.83,885650677.42,,15626021052.97,24261873936.42,2023Q4,2023
7,000999,,7026231386.59,6332568501.37,4981630861.95,1803669381.57,588576580.14,41247674433.65,,2358834574.15,,15521319097.77,,1781793735.77,914305962.83,,16989847016.58,25726355335.88,2024Q1,2024
8,000999,999.0,166361268.2,6470052132.25,4992439828.96,3285464898.09,646337025.92,40698266461.18,,2382199709.12,,15324396836.88,,1473803548.83,905522671.3,37.65,16542105190.99,25373869624.3,2024Q2,2024
9,000999,,6142655627.85,6441047110.47,5057130119.03,2703982900.0,631632711.88,40769923351.38,,2356403943.2,,14705888352.04,,1461449573.53,821609434.11,,17103577922.38,26064034999.34,2024Q3,2024
10,000999,999.0,155664970.77,6610245394.36,4932682803.22,1677334369.26,306717614.99,40081972320.77,,2323014422.67,56760.0,14825658953.1,,1860863072.45,855567420.27,4001.33,16121093176.13,25256313367.67,2024Q4,2024
11,000999,,7905147939.55,7680696744.82,6710115946.33,2647941639.28,621833950.23,57846395366.38,,2871315655.58,63792475.0,22507698467.69,,1528152921.97,2471010397.49,,17391166960.61,35338696898.69,2025Q1,2025
12,000999,999.0,6407851675.73,7645433399.09,6523351956.79,3263627248.69,652901225.49,57259892549.36,,2551371353.39,77201909.6,19579416263.91,,1178778545.13,2895534838.7,34.19,17446597574.54,37680476285.45,2025Q2,2025
13,000999,,5623226187.03,7666064127.22,6386947356.53,2951880246.72,721875493.45,56563981806.22,,2283666081.47,65154114.26,19184581916.76,,986990341.42,1807806454.78,,17255839527.06,37379399889.46,2025Q3,2025
14,000999,,,,,,,40081972320.77,,,,,,,,,,,2025Q4,2025
