serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,000999,,,,1884653344.33,,,,,,,,,,,2021Q4,2021
2,000999,999.0,-41929792.1,,3006375016.25,,,-2479200300.45,,5675927791.56,4091870556.84,593693875.37,462184114.21,-575452683.47,,2022Q4,2022
3,000999,,2074632727.57,,301166852.2,,,1252221553.54,,2745000.0,199919860.79,768409226.58,238393750.0,521745893.01,,2023Q1,2023
4,000999,999.0,3632772977.12,,1771924806.01,,,859756125.01,,82745000.0,363315071.15,2812314367.16,719666704.88,995385604.54,,2023Q2,2023
5,000999,,3764199183.85,,3050175057.28,,,256794763.78,,1067745000.0,936378571.05,3295536165.41,1610061406.3,451630024.99,,2023Q3,2023
6,000999,999.0,,,4191742949.8,,,,,,,,,,,2023Q4,2023
7,000999,,508968059.36,,786578192.24,,,-250703394.51,,1016016756.0,857370839.38,124341684.83,105752598.67,-26333690.55,,2024Q1,2024
8,000999,999.0,,,2363114807.27,,,,,,,,,-1512267208.28,,2024Q2,2024
9,000999,,-818316153.13,,3204267651.34,,,-2089238437.45,,5712423463.0,4192166426.99,711404311.9,982569826.59,-1933372844.94,,2024Q3,2024
10,000999,999.0,-1353935822.77,,4402199387.17,,,-1130409555.14,,7832423463.0,7508262038.81,1006783587.84,2681514105.06,-4628602217.87,,2024Q4,2024
11,000999,,1247488080.7,,979855112.07,,,-1837847904.4,,2462020857.74,2122379748.7,2282025337.53,142249185.91,2105375036.26,,2025Q1,2025
12,000999,999.0,-112152325.25,,2860194941.31,,,,,,,,,2554986752.76,,2025Q2,2025
13,000999,,-838704376.33,,2925359803.57,,,-5364974310.72,,7570644802.62,7189120467.8,5211663382.35,2533803821.82,1604819094.47,,2025Q3,2025
