serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,000999,,1.63,,,,,,,,,,,,,,,2020Q4,2020
2,000999,,2.09,420768196.11,,,19407357.67,,,,14.14,,,,,,,2021Q4,2021
3,000999,,,183386197.42,,,8820231.45,,,,,,,,,,,2022Q1,2022
4,000999,999.0,2.48,365888223.02,,,2448802103.34,,,,15.15,,,,,,,2022Q4,2022
5,000999,,1.16,6352408318.71,,,1229459986.52,,,,6.54,,,,,,,2023Q1,2023
6,000999,999.0,1.91,13146125695.07,,,2059859607.59,,,,10.74,,,,,,,2023Q2,2023
7,000999,,0.54,18608005954.15,,,2695179086.81,,,,,,,,,,,2023Q3,2023
8,000999,999.0,2.9,99.82,,,3173478654.27,,,,15.86,,,,,,,2023Q4,2023
9,000999,,1.39,7294070557.82,,,1363825963.61,,,,6.94,,,,,,,2024Q1,2024
10,000999,999.0,1.87,14106012765.08,,,2577053411.52,,,,12.32,,,,,,,2024Q2,2024
11,000999,,0.44,5634274230.28,,,561472731.39,,,,2.84,,,,,,,2024Q3,2024
12,000999,999.0,2.63,27616611772.61,,,3367888968.2,,,,,,,,,,,2024Q4,2024
13,000999,,1.0,6853656383.75,,,1331378298.69,,,,,,,,,,,2025Q1,2025
14,000999,999.0,1.09,14810160218.62,,,1815258362.79,,,,8.8,,,,,,,2025Q2,2025
15,000999,,1.42,27.37,,,10.12,,,,,,,,,,,2025Q3,2025
