serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,000999,,19407357.67,,,420768196.11,,,,,,,,,,,,,2021Q4,2021
2,000999,,8820231.45,,,183386197.42,,,,,,,,,,,,,2022Q1,2022
3,000999,999.0,2448802103.34,,35541395.86,365888223.02,,8313133519.87,5076623894.07,1058610105.68,5507490.71,593941744.35,207055195.25,,2947218238.52,2963436465.76,-138270357.39,90254014.46,2022Q4,2022
4,000999,,1229459986.52,,4014353.2,6352408318.71,,2917341697.08,1403405075.0,309113088.97,-7306106.45,132597016.85,65903469.13,,1513898999.37,1509852818.84,937691.01,-31889828.36,2023Q1,2023
5,000999,999.0,2059859607.59,,19935822.92,13146125695.07,,6281451932.08,3288668621.58,677447577.35,-13185445.64,61282514.62,435565924.66,,2499035124.9,2495425532.25,-17898947.25,-58267711.4,2023Q2,2023
6,000999,,2695179086.81,,27199068.9,18608005954.15,,8970646126.53,4767318586.13,1039595337.19,-20519852.21,458443247.93,193819226.91,,3250293946.21,3249721813.05,546120.92,-42683465.66,2023Q3,2023
7,000999,999.0,3173478654.27,,51288348.28,99.82,,,,1523536373.73,-24191715.87,714502232.0,556249438.02,,3753375703.56,3754453234.16,-4.6,-67777940.96,2023Q4,2023
8,000999,,1363825963.61,,11819454.04,7294070557.82,,3397531718.14,1561445603.69,338683226.21,-23656160.91,137417359.0,75246919.35,,1797890608.84,1803145615.13,-157872.32,-38233174.65,2024Q1,2024
9,000999,999.0,2577053411.52,,25748826.88,14106012765.08,,6550371318.1,3311444549.92,706265262.91,-24670468.07,91758599.46,582105315.82,,1157043118.62,3159158727.34,-25189204.84,494775503.08,2024Q2,2024
10,000999,,561472731.39,,12785929.15,5634274230.28,,9341054994.24,4751161552.64,1073534964.41,-13326452.64,512182034.77,201666027.39,,3886842011.03,3984603385.71,22965863.52,-100295663.62,2024Q3,2024
11,000999,999.0,3367888968.2,,141805622.72,27616611772.61,,,,,,,767634780.13,,2721696575.93,2810363106.31,-163286379.13,-4732332.09,2024Q4,2024
12,000999,,1331378298.69,,1183351.25,6853656383.75,,3202142620.38,1498198895.21,351440429.45,1491986.79,144498494.42,78142405.26,,1662380280.57,1664382988.16,806848.25,1715490.04,2025Q1,2025
13,000999,999.0,1815258362.79,,25965571.06,14810160218.62,,6880166298.21,3938651737.05,829196338.01,33544560.84,49187958.95,413803349.37,,2620938608.52,2625392117.67,-51630557.11,-27093899.17,2025Q2,2025
14,000999,,2899296865.59,10.12,238431446.72,27.37,,10219774236.95,6128178024.29,1304643969.19,20402805.59,840332993.32,264345161.66,,3425640234.08,3430609850.88,-77196924.49,-46772836.0,2025Q3,2025
