serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,000766,通化金马,23520.5228,50244.1713,38664.6621,12.8392,,468511.4987,0.96,,,107986.3948,12.77,,,0.0,-57291.9376,233685.9414,2022FY,2022
2,000766,通化金马,17744.5963,49682.1396,36916.9011,104.855,267937914.39,451924.4365,0.0,18334.9578,,220111.7187,103.83,,,48.71,-59657.0486,231766.292,2023FY,2023
3,000766,通化金马,22911.1387,43653.8416,37821.9837,11.6136,,453413.8987,-3.22,22478.7948,,215533.3378,12.5,,,0.69,-236993.5863,234763.6325,2023HY,2023
4,000766,通化金马,,,,,,450052.1306,-3.94,,,,,,,,,234382.1862,2023Q1,2023
5,000766,通化金马,,,,,,446626.7721,-4.67,,,214843.4563,-4.67,,,48.1,,231783.3158,2023Q3,2023
6,000766,通化金马,27417.7491,49955.1966,38219.3097,108.8562,27226.4112,448361.860264,-0.79,18215.7404,,222821.5681,100.36,1465.5484,19474.8486,49.68,-228034.1745,225539.774517,2024FY,2024
7,000766,通化金马,26464.030202,49741.959881,39023.317098,,,459957.268911,1.78,13247.7106,,1557370.0,622.57,,,338.59,233013.126254,233013.126254,2024HY,2024
8,000766,通化金马,27574.2281,48337.2335,40310.6131,,,459779.8179,1.74,12851.5606,,,,1275.0363,23370.6111,49.15,-231285.532,234158.6669,2024Q3,2024
9,000766,通化金马,34368.6786,106.83,36754.7373,,,453662.155002,1.18,19463.62,,226436.9984,-85.46,,,49.91,-62202.8941,227220.173967,2025HY,2025
10,000766,通化金马,33201.337468,50932.405201,36755.324135,,,452387.413266,0.9,14898.45424,1332.225272,225690.122108,1.22,,24969.004027,49.89,-226875.898264,226698.050724,2025Q1,2025
11,000766,通化金马,,,,,,452762.5159,0.98,,,,,,,,,230120.7463,2025Q3,2025
