serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,000766,通化金马,0.03,147074.8775,-2.95,-2.86,3015.1349,-14.52,-14.16,2.39,1.3,0.13,2024.3471,-0.3,78.46,1.98,1.25,2022FY,2022
2,000766,通化金马,0.05,147334.5301,0.18,366.62,4393.3704,45.71,820.32,,1.86,4.5205,2942.4094,45.35,,2.98,1.25,2023FY,2023
3,000766,通化金马,0.0112,72849.1083,5.01,1.57,1077.6911,43.12,-100.0,4.3,0.29,0.134,770.9212,107.07,74.67,1.48,-1.67,2023HY,2023
4,000766,通化金马,0.0072,30855.7426,-13.7,-79.02,696.2448,20.29,-76.91,,0.3,0.007,474.9194,11.39,,2.26,0.2,2023Q1,2023
5,000766,通化金马,0.0049,31575.0994,-1.34,-56.66,477.3725,-3.27,-55.7,,0.21,0.0873,313.2788,11.24,,1.51,0.14,2023Q3,2023
6,000766,通化金马,0.06,132255.772402,-10.07,-10.25,5643.732561,28.46,29.53,1.84,5.52,0.17,4797.438891,63.04,74.93,4.23,2.05,2024FY,2024
7,000766,通化金马,0.0129,64918.171175,-10.89,,1246.834298,15.69,,2.412,0.54,0.0038108424,640.137602,-16.96,75.23,1.92,0.54,2024HY,2024
8,000766,通化金马,0.0119,31940.7465,1.16,-50.8,1145.5407,139.97,-8.12,,0.49,0.1157,998.6437,218.77,,3.59,0.43,2024Q3,2024
9,000766,通化金马,0.0174,649983.80844,901.24,2071.81,1680.39945,34.77,45.08,,0.74,0.0808,1440.72647,125.07,73.23,2.6,0.63,2025HY,2025
10,000766,通化金马,0.012,29928.243673,,-77.37,1158.276207,26.09,-79.48,,0.51,0.0433,1004.595579,58.53,71.6,3.87,0.44,2025Q1,2025
11,000766,通化金马,0.0084,24226.7321,-24.15,-96.27,815.9474,-28.77,-51.44,,0.36,0.0729,493.2133,-50.61,,3.37,0.21,2025Q3,2025
