serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,000999,华润三九,2361426.88024,700037.39608,174093.93239,121878.0611,95156.556001,2712278.17,10.52,4800119.15961,17577917.06008,958936.7,13.42,17577917.06008,462184114.21,56.56,13761435.38812,1700963.35,2022FY,2022
2,000999,华润三九,677077.2624,657722.5662,,145601.4377,,4014845.5933,48.02,285842.7583,,1000000.0,4.28,,,52.7,1562602.1053,1896714.1875,2023FY,2023
3,000999,华润三九,669961.6255,658247.2311,457650.4878,8000.0,,3886556.25,43.29,,,5106834337.51,38.56,,,131397.41,1465021.4048,1795636.82,2023HY,2023
4,000999,华润三九,,,,,,3787985.401608,,,,,,,,,,2315106.277889,2023Q1,2023
5,000999,华润三九,501683.2964,661024.5394,493268.2803,1206052344.61,,4008197.2321,-0.17,232301.4423,,1482565.8953,23.56,,,42.45,1612109.3176,1990311.1307,2024FY,2024
6,000999,华润三九,548200.6798,647005.2132,499243.9829,328546.4898,140544003.36,4069826.646118,1.37,238219.9709,,1532439.6837,1.69,218180186.15,,37.65,,1995403.764807,2024HY,2024
7,000999,华润三九,702623.14,633256.85,498163.09,180366.94,,4124767.4434,2.74,235883.46,,,,178179.37,91430.6,,16989847.02,2034555.6007,2024Q1,2024
8,000999,华润三九,,,,,,4076992.34,,,,,,,,,,2606403.5,2024Q3,2024
9,000999,华润三九,640785.1676,446964.6061,681509.4903,1206052344.61,,5725989.254936,42.86,1209566052.05,,1957941.6264,31.75,1178778545.13,,34.19,72092.7728,2134022.099058,2025HY,2025
10,000999,华润三九,,,,,,578463.9536638,-85.98,,,,,,,,,211781.756197,2025Q1,2025
11,000999,华润三九,562322.6187,766606.4127,638694.7357,,,5656398.1806,38.74,228366.6081,,1918458.1917,,,,33.92,1725583.9527,2111568.6196,2025Q3,2025
