serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,000999,华润三九,-41.93,-92.76,300637.5,-6227.22,,-247920.030045,5135.26,,,,,-57545.268347,1191.96,2022FY,2022
2,000999,华润三九,4191742949.8,39.43,419174.295,108.91,2748566.6934,-79349.7979,-20.62,318199.5625,953678126.0,357809.1044,183629.3324,45042.4732,11.7,2023FY,2023
3,000999,华润三九,177192.48,-6.87,177192.4806,48.85,,85975.6125,23.7,,,,,99538.5605,27.44,2023HY,2023
4,000999,华润三九,2074632.72757,,30116.68522,100.0,,,,,,,,,,2023Q1,2023
5,000999,华润三九,-1353935822.77,5.78,440219.9387,-0.17,,-128130535.2,50.09,,,,,-128130535.2,50.09,2024FY,2024
6,000999,华润三九,-105970.891091,-129.17,236311.480727,-0.09,12152619511.82,-276838910.66,101.0,140544003.36,142451909.49,2500000.0,2500000.0,2500000.0,-0.91,2024HY,2024
7,000999,华润三九,786578192.24,161.18,78657.82,154.37,,-25070.34,-49.2,,,,,-2633.37,-5.17,2024Q1,2024
8,000999,华润三九,-818316.15,,,,,,,,,,,,,2024Q3,2024
9,000999,华润三九,-112152325.25,-105733.14,2860194.94131,111.6,,-552719.5872,-21.57,,,,,255498.6753,9.97,2025HY,2025
10,000999,华润三九,124748.80807,24.57,97985.511207,100.0,,,,,,,,,,2025Q1,2025
11,000999,华润三九,,,292535.9804,-350.43,,-536497.4311,642.67,,,,,160481.9094,-192.24,2025Q3,2025
