serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,000999,华润三九,244880.2103,,21739.403238,1807946.148275,,831313.351987,507662.389407,105861.010568,550.749071,59394.174435,,1504781.6755,294721.823852,296343.646576,-13827.035739,-597.454234,2022FY,2022
2,000999,华润三九,285293.1665,16.5,2708.7486,403065.7888,39.25,203007.3828,901.5924,53196.9534,-2724.2404,20331.6649,2863.3451,2126187.3518,198555.4898,197685.2584,-4433.8605,242.1945,2023FY,2023
3,000999,华润三九,188390.6518,31.02,9145201.88,1314612569.51,56.48,,328866862.16,67744757.74,,29521117.04,,426132736.94,2499035124.9,2495425532.25,,,2023HY,2023
4,000999,华润三九,1229459.98652,,,,,,,,,,,,,,,,2023Q1,2023
5,000999,华润三九,336788.8968,18.05,231486314.74,2761661.1773,585.16,,,,,,,,,,,,2024FY,2024
6,000999,华润三九,239836.013802,27.77,143854723.64,1410601.2765,-99.89,121433.2384,387174982.43,13655601.29,,391693769.98,234597.49,11117274157.5,3147456183.6,3159158727.34,76900606.79,2548183.01,2024HY,2024
7,000999,华润三九,145316.82,-88.18,4657.1,,,,156144.56,33868.32,-2365.62,13741.74,7524.69,208913.69,179789.06,180314.56,,,2024Q1,2024
8,000999,华润三九,3244717.5,,,,,,,,,,,,,,,,2024Q3,2024
9,000999,华润三九,221158.8768,-7.79,18577.9206,1481016.0219,4.99,688016.6298,393865.1737,82919.6338,736.6063,45903.9284,,1211441.972,288151.9705,,-51630557.11,-27093899.17,2025HY,2025
10,000999,华润三九,133137.829869,-6.87,,,,,,,,,,,,,,,2025Q1,2025
11,000999,华润三九,235282.6956,-92.75,,2198640.3962,,,,,,,,,,,,,2025Q3,2025
