serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002082,万邦德,-170564117.29,-1185.11,-23964.82,50.97,10179.0957,-16741.7628,35.61,844.9843,905.3534,5164.2228,5096.0821,-6306.6228,13.41,2022FY,2022
2,002082,万邦德,-7286.98,69.59,-7286.98,33.18,2632.6989,-15603.2779,71.04,,,,,925.6408,-4.21,2023FY,2023
3,002082,万邦德,-147234815.94,,-14844.7869,101.29,,-6751.6606,46.07,,,,,6940.4034,-47.36,2023HY,2023
4,002082,万邦德,-28572364.9,,-10971.2048,392.2,,-2344.2079,83.8,,,,,10518.079,-376.0,2023Q1,2023
5,002082,万邦德,-144605877.01,34.93,,,,,,,,,,16300.5285,100.0,2023Q3,2023
6,002082,万邦德,-7476.271905,66.15,12022.1961,-161.16,143922.526093,-15248.93173,204.41,243957.38717,91468.06987,1084818.74101,1127150.49836,-4233.175735,56.75,2024FY,2024
7,002082,万邦德,11624.511326,178.31,11624.511326,-140.45,,-14830.461115,179.19,,,,,-5070.656207,61.26,2024HY,2024
8,002082,万邦德,-34494878.61,-20.73,10135.7364,-290.72,,-16420.3107,470.97,,,,,2798.0961,-80.26,2024Q1,2024
9,002082,万邦德,3766.764907,145.54,4404.436683,117.21,52259.641112,-15845.061748,-421.66,13387.85596,15845.061748,22628.394701,7408.549999,15198.394701,404.45,2025HY,2025
10,002082,万邦德,-99091092.59,-187.26,-1728.574,17.42,,-2246.0087,22.63,,,,,-5948.7258,59.95,2025Q1,2025
11,002082,万邦德,-72017540.09,,3657.3031,-50.73,80941.5293,-28776.8023,399.14,,,,,17909.8408,-248.41,2025Q3,2025
