serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,002082,万邦德,0.15,178642.83,-7.47,,9387.75,-43.62,,4.56,3.55,-0.39,11209.79,-17.57,44.43,4.16,-2.88,2022FY,2022
2,002082,万邦德,0.08,154193.86,-13.69,-13.69,4920.89,-47.23,-47.23,4.35,1.84,-7286.98,3323.11,-70.19,70.88,3.19,1.24,2023FY,2023
3,002082,万邦德,0.0515,73855.965878,1.01,91.72,3158.926004,-44.77,15.56,4.37,1.08,-2.42,1893.09756,-58.31,66.87,44.45,0.68,2023HY,2023
4,002082,万邦德,0.0442,38522.8932,15.81,-78.44,2733.6958,10.29,-70.88,,0.97,-0.1774,2481.3591,17.4,43.32,7.1,0.88,2023Q1,2023
5,002082,万邦德,-0.0629,27934.9841,-38.26,-62.18,-3855.2845,-143.17,-222.04,,-1.48,,-5738.247,-186.55,,-13.8,-2.2,2023Q3,2023
6,002082,万邦德,0.09,144336.5223,-6.39,,5544.0971,12.66,,4.44,2.08,0.2,1385.7401,-58.3,70.68,3.84,0.51,2024FY,2024
7,002082,万邦德,0.0611,75279.794741,1.93,75.41,3770.411717,19.36,30.74,,1.4,0.1884,1807.288119,-4.53,,5.01,1.41,2024HY,2024
8,002082,万邦德,0.0466,42917.2676,11.41,-72.17,2883.8483,5.49,-41.4,,1.07,0.1638,1409.7321,-43.19,36.17,6.72,0.52,2024Q1,2024
9,002082,万邦德,0.02,57855.204429,-23.15,83.6,1346.345525,-64.29,-11.44,18.105598509,4.85,0.04404436683,-2411.431057,-233.43,18521.1226,153.0585,-0.9,2025HY,2025
10,002082,万邦德,0.0249,31511.0184,-26.58,-78.17,1520.1816,-47.29,-72.58,,0.57,-0.0283,-790.5347,-156.08,,4.82,-0.29,2025Q1,2025
11,002082,万邦德,-0.01,43915.4394,,-24.09,-899.5683,,-166.82,,-0.34,0.0407,-1260.8891,,,-2.05,-0.47,2025Q3,2025
