serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002082,万邦德,-23964.8178,-1185.11,1186.4393,178642.8309,-7.47,84729.9495,39898.646,18147.5746,2449.9467,5910.456,2347.813,128428.7367,12866.1728,10013.2894,-9479.3247,-3898.2092,2022FY,2022
2,002082,万邦德,4920.89,-69.99,,154193.8585,-13.69,,28058.9509,18019.3524,4972.6571,5398.3758,,56449.3362,5420.89,,,,2023FY,2023
3,002082,万邦德,2966.2547,,,73855.9659,,,,,,,,,,,,,2023HY,2023
4,002082,万邦德,2362.0333,,148.5975,38522.8932,,21834.0576,6138.43,5371.3752,982.9105,1427.4387,,35754.212,2418.5412,2353.9646,-80.3487,-283.2767,2023Q1,2023
5,002082,万邦德,-696.3585,-104.72,,,,,,,,,,,,,,,2023Q3,2023
6,002082,万邦德,165591.704736,11.46,1729.054796,144336.52,-6.39,127804.35,27940.474121,16576.045831,3871.165449,5987.409658,,127804.35,165591.704736,165591.704736,-2713.924665,89.788226,2024FY,2024
7,002082,万邦德,3770.411717,19.36,,75279.794741,1.93,,,,,,,,,,,,2024HY,2024
8,002082,万邦德,2495.8441,5.67,1822.5729,42917.2676,11.41,27393.3565,6854.3941,4035.835,1115.0973,1305.8051,,40704.488,3146.388,3124.5727,109.7046,-682.9042,2024Q1,2024
9,002082,万邦德,878.5942,-76.7,4631.741,57855.2044,-23.15,39029.734375,9393.528567,7808.500974,1429.400818,3114.147035,,60775.3118,18825.469054,18825.469054,-109.271568,269.443889,2025HY,2025
10,002082,万邦德,1122.7654,-55.01,2762.5041,,,,4103.5895,4067.335,726.1061,1277.4781,,10174.5087,2415.7677,2414.179,-54.3357,-407.9055,2025Q1,2025
11,002082,万邦德,,,,,,,16627.3248,11704.7878,2333.3698,4926.5961,,35592.0785,,,,,2025Q3,2025
