serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002166,莱茵生物,55174.0867,33710.0543,92536.5286,555257436.41,2043123.87,445536.09,36.71,34894.5382,,134211.2749,36.73,,,30.12,,306475.19,2022FY,2022
2,002166,莱茵生物,13045.3809,54964.7687,97129.8948,6057.2622,,457322.7986,-9.56,421183699.77,,1421120433.26,1058768.14,,,310747.78,80518.3667,3204456699.7,2023FY,2023
3,002166,莱茵生物,37692.01,21952.1443,105851.05,1532.9,,450581.65,1.13,29179.89,,250935.43,,,47048.94,30.87,76717.19,305909.8,2023HY,2023
4,002166,莱茵生物,54225.0587,23615.5952,110356.9076,,2564.4381,453998.0705,,31324.6498,,,,889.854,50870.2778,,82512.8802,307995.2329,2023Q1,2023
5,002166,莱茵生物,26102.6899,,95136.727,1407.7525,17576.8138,450224.5103,1.05,,,137569.1101,2.69,,,45.97,,306583.683,2023Q3,2023
6,002166,莱茵生物,16506.347,91177.7245,120427.9885,2296.009,,501872.99,8.5,56814.4644,,181780.8527,-99.99,,,61.43,,312395.87,2024FY,2024
7,002166,莱茵生物,24706.534092,32018.806696,125303.803188,4019.773162,,490146.59963,5.96,128298.186122,2695.93361,139253.589462,101.63,,,28.42,162625.88981,300710.578341,2024HY,2024
8,002166,莱茵生物,,,,,,476823.0025,5.03,,,,,,,,,311176.56,2024Q1,2024
9,002166,莱茵生物,31200.6627,32564.594,116782.1645,2884.6451,15093.3842,494044.082,9.73,48119.6756,,,,312.0417,45386.0846,58.97,,303989.7697,2024Q3,2024
10,002166,莱茵生物,24313.52,72181.19,118076.36,1146.9812,,489982.83,-2.37,51531.9646,,241556.19,73.46,,,49.3,,304701.19,2025HY,2025
11,002166,莱茵生物,32444.8749,,119995.1847,1304.8541,11500.1897,504065.9837,5.71,52770.9444,,,,,54733.2015,,82521.1778,310948.2312,2025Q1,2025
12,002166,莱茵生物,25537.9046,74452.6823,120458.7517,1057.9878,,498507.2238,0.9,54437.458,,182276.4571,,,,36.56,79217.8768,307654.8373,2025Q3,2025
