serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002219,新里程,-1453220442.98,-178.65,26803.941481,100.0,,,,,,,,,,2022FY,2022
2,002219,新里程,204873235.68,114.1,29097.7691,1558.15,,-33512.4356,-1794.55,,,,,6282.1193,336.4,2023FY,2023
3,002219,新里程,9393.144888,364.99,12521.031312,133.3,,-18213.846304,-193.91,,,,,15085.956323,160.61,2023HY,2023
4,002219,新里程,22027.190344,,3816.34229,100.0,,,,,,,,,,2023Q1,2023
5,002219,新里程,-161533945.13,0.0,43850.59,-271.46,406100.3623,-49030.7917,303.53,739.3072,0.0,132052.5135,142600.9325,-10973.19,67.93,2024FY,2024
6,002219,新里程,-10773.866745,15.5,14458.589924,-134.2,,-16828.162996,156.19,,,,,-8404.29433,78.01,2024HY,2024
7,002219,新里程,-88654418.92,-402577.2,1095.7708,-12.36,,-9236.3028,104.18,,,,,-724.9096,8.18,2024Q1,2024
8,002219,新里程,-830.031126,92.65,14160.656068,-1706.04,1581029771.49,-32303.411946,3891.84,1581029771.49,1581029771.49,,,17312.726198,-2085.8,2025HY,2025
9,002219,新里程,,,-3799.489316,71.21,,-28123.201853,527.05,,,,,26586.729941,-498.26,2025Q1,2025
10,002219,新里程,,,15095.606708,-96.96,,-37780.981018,242.67,,,,,7116.809879,-45.71,2025Q3,2025
