serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002219,新里程,15562.195897,50.27,,315273.4881,5.07,,,,,,,,,,,,2022FY,2022
2,002219,新里程,-306201.2834,-35.83,5514595.52,359048.206,13.89,2510555568.19,203858687.64,587367183.65,112143500.22,27710167.94,,3441635107.64,189177165.74,,-391754.42,-111731559.34,2023FY,2023
3,002219,新里程,5700.455673,,489.1737,160672.3365,,108030.174628,10733.574449,27890.439724,5193.511803,81.8987,1070.8269,153000.4262,52642.15887,52642.15887,0.0,-1494.0215,2023HY,2023
4,002219,新里程,2211.43625,1707.56,,,2.25,,,,,,,,,,,,2023Q1,2023
5,002219,新里程,12032.8044,397.47,,379901.0313,-3.21,,,,,,,,,,,,2024FY,2024
6,002219,新里程,6230.528,5.27,,182024.2878,12.2,129135.904135,11805.731749,25689.017902,6213.267306,,,172843.9211,528883.8375,528883.8375,,,2024HY,2024
7,002219,新里程,2514.4132,12.19,,,,61433.7078,3688.5413,13395.0987,3143.6921,337.0011,,81998.041,3200.1215,2816.7313,,,2024Q1,2024
8,002219,新里程,704.026192,0.0,2.391616,5943.111194,0.0,114020.414549,8647.63608,21926.281016,6144.063159,1047.652699,952.167837,152738.21534,3377.428044,2574.270156,0.0,-311.539451,2025HY,2025
9,002219,新里程,2456.886412,-2.29,,,,,,11813.20524,2944.334,439.865382,,15197.4046,,,,,2025Q1,2025
10,002219,新里程,-3846.8212,,,225609.5468,,,12483.4789,33576.8512,9325.902,1214.9791,,56601.2112,169008.3356,,,,2025Q3,2025
