serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002287,奇正藏药,43757.1379,10241.841,12777.4134,153928.981,53308.3153,588664.4252,5.73,6353.0446,,70172.6389,59.42,10215.9376,70172.6389,42.45,166699.9874,333601.4084,2022FY,2022
2,002287,奇正藏药,16506.94,363.92,16143.02,196304.5792,,629847.86,6.97,4500.0,3.5,4500.0,-93.59,,,44.7,178480.2346,372032.88,2023FY,2023
3,002287,奇正藏药,59008.98,27720.56,15366.36,221062.29,53308.3153,649702.9541,10.37,6353.0446,,8185041.91,3.53,6416.62,100353.47,46.23,178480.2346,344329.5936,2023HY,2023
4,002287,奇正藏药,,,,,,598398.016462,,,,250454.591964,,,,41.85,,347943.424498,2023Q1,2023
5,002287,奇正藏药,,,,,,639506.9356,8.64,,,,,,,,,351058.7334,2023Q3,2023
6,002287,奇正藏药,,,,,,679042.04,7.81,17767.7038,,267710.7646,5849.13,10973.5486,,39.42,238372.5078,406437.5,2024FY,2024
7,002287,奇正藏药,87574.5946,33391.4138,16434.2157,216287.2389,0.0,674417.75,7.08,17077.8743,0.0,290034.2964,-96.46,0.0,75424.6269,43.01,153566.6367,379256.67,2024HY,2024
8,002287,奇正藏药,35724.186672,24128.691221,16901.85733,220834.520547,,676539.135456,7.41,24687.428932,,,,9903.911184,89159.609168,74.15,,386930.646731,2024Q1,2024
9,002287,奇正藏药,30423.2,48040.03,20586.58,245514.5859,24589.5085,682900.71,0.57,6832.9114,,118100.0,-0.16,46271.6131,,17.33,243645.21,403645.21,2025HY,2025
10,002287,奇正藏药,,,,,,671475.0641,-1.11,,,,,,,,,402066.8719,2025Q1,2025
