serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002287,奇正藏药,285686729.21,-72.4,28568.67,45.81,22687336.9702,-169400.0,-271.61,21221162.4533,169400.0,203200.0,169400.0,203200.0,325.8,2022FY,2022
2,002287,奇正藏药,-4906.76,3.5,69340.51,-1395.68,246520.21,-31059.06,625.15,172724.4,,75000.0,118249.67,-43249.67,870.53,2023FY,2023
3,002287,奇正藏药,15251.85,-5.48,22615.4632,149.61,,-41593.19,-275.15,136406.48,703000.0,340940.2,45117.19,34094.02,225.54,2023HY,2023
4,002287,奇正藏药,-28243.087462,,-18156.939295,64.39,,-19647.730372,69.68,,,,,9607.546908,-34.07,2023Q1,2023
5,002287,奇正藏药,-213663377.15,55.76,117028871.91,-54.49,,-515860243.12,240.18,,,,,184047505.09,-85.69,2023Q3,2023
6,002287,奇正藏药,45675.13,1030.86,45675.1293,-228.98,8361.9609,-51801.7384,259.69,250670.3904,217292.4242,81187.2651,46197.6937,-13820.7904,69.29,2024FY,2024
7,002287,奇正藏药,4491.53,-80.14,4491.53,9.24,105475.43,15122.42,31.12,100000.0,251224.24,350000.0,61024.61,28977.54,59.64,2024HY,2024
8,002287,奇正藏药,-3230.170419,88.56,-19132.848983,591.15,,-27688.220767,855.49,,,,,43584.524686,-1346.64,2024Q1,2024
9,002287,奇正藏药,11464.05,-76.42,49124.1,427.91,62997.1203,-13338.37,-116.19,25.9814,76.3408,103.4,2442.9635,-24305.59,-211.72,2025HY,2025
10,002287,奇正藏药,333498493.12,1132.45,25581.8549,76.7,,10159.3822,30.46,,,,,-2385.937,-7.15,2025Q1,2025
