serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,002287,奇正藏药,0.8919,204478.934,15.49,15.49,47240.8229,-34.01,-34.01,0.0,13.98,0.54,44001.8192,27.57,84.54,23.11,0.0,2022FY,2022
2,002287,奇正藏药,1.0972,204515.24,0.02,391.12,58119.89,22.99,751.73,10.36,3.5,7.04,36997.81,-15.94,84.84,28.43,3.5,2023FY,2023
3,002287,奇正藏药,0.5893,82980.662,-7.48,180.4,31226.7147,34.41,236.63,6.4944,8.94,0.4263,21824.0144,-11.32,85.21,37.64,7.31,2023HY,2023
4,002287,奇正藏药,0.1752,29593.34669,,-85.53,9276.315733,,-80.36,6.469,2.74,-0.3429,3157.908546,-73.17,,31.35,0.91,2023Q1,2023
5,002287,奇正藏药,0.1288,41643.0146,-19.8,-49.82,6823.7614,-46.36,-78.15,,1.94,2208.9457,4508.8595,-64.47,,16.39,1.28,2023Q3,2023
6,002287,奇正藏药,1.0981,233796.9652,14.32,14.32,406437.5038,0.19,0.19,7.56,15.07,0.85,42580.86,15.09,82.61,24.91,11.21,2024FY,2024
7,002287,奇正藏药,0.6143,100983.37,21.7,176.59,32568.58,4.3,234.17,7.17,14.5,0.0849,22729.22,4.15,82.53,32.25,11.86,2024HY,2024
8,002287,奇正藏药,0.1838,36509.875648,23.37,-82.15,9746.083734,5.06,-83.23,,2.52,-0.3608,5602.848572,77.42,74.15,26.69,1.45,2024Q1,2024
9,002287,奇正藏药,0.6756,117505.54,0.0,16.36,35839.42,10.04,10.04,7.377,0.0,49124.1,28947.25,27.36,82.62,30.47,0.0,2025HY,2025
10,002287,奇正藏药,0.1425,40301.531,10.39,-82.76,7567.9793,-22.35,-98.14,,1.88,0.4817,6518.3489,16.34,,18.78,1.62,2025Q1,2025
