serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002287,奇正藏药,1911.4645,-34.01,7299.5779,1737053.5685,,324139536.95,186.4655,186.4655,186.4655,186.4655,186.4655,6353.0446,2114.9218,2253.4129,,,2022FY,2022
2,002287,奇正藏药,58119.89,22.99,16640.57,107663.09,-93.8,307047.01,97777.53,18388.92,5022.91,5862.63,0.0,146989.46,64638.29,64638.29,-140.13,-127.16,2023FY,2023
3,002287,奇正藏药,31226.71,34.41,6436227.34,82980.66,-7.48,12959.48,31121.43,7798.36,3130.58,4286.82,14148839.01,591405141.62,340452494.14,,5.63,-173.26,2023HY,2023
4,002287,奇正藏药,,6.52,,,-27.39,,,,,,,,,,,,2023Q1,2023
5,002287,奇正藏药,38050.4761,5.83,,,,,,,,,,,,,,,2023Q3,2023
6,002287,奇正藏药,58228.11,0.19,7834.257,233796.97,117.16,41837.4983,110949.3321,17056.7075,5386.7274,6673.0504,,181903.3157,59727.9113,,,,2024FY,2024
7,002287,奇正藏药,32708.8161,5.28,5452.36,100983.3674,3.63,18287.59,41920.91,7568.18,2914.48,4709.37,2114.06,117975.92,36652.94,36652.94,-8.8,-49.39,2024HY,2024
8,002287,奇正藏药,9869.417845,5.06,980.879023,,23.37,,16967.951901,3410.482267,1032.376031,1201.894257,,22612.7045,,,,,2024Q1,2024
9,002287,奇正藏药,28947.25,10.04,4838.92,0.0,16.36,20923.88,46568.1,8779.93,2727.1,4865.36,2300.99,0.0,0.0,0.0,76.69,-18.84,2025HY,2025
10,002287,奇正藏药,7509.452,-22.35,,,,,,,,,,,,,,,2025Q1,2025
