serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002317,众生药业,92767.155682,50158.063339,48105.581777,34067.9204,8203.0706,577528.45,17.82,2945.0,408.014,2143.0,,4523.8931,58760.1055,46.12,117357.4586,370274.0,2022FY,2022
2,002317,众生药业,125204.33,48053.78,52039.33,68306.0312,12354.8723,645852.24,11.83,8478.4129,,2590.87,20.35,,62148.75,37.57,72307.7612,435630.46,2023FY,2023
3,002317,众生药业,159346.139769,58597.037891,53618.657271,17512.9697,10940.8215,621855.855419,7.68,10809.6764,,42200.292495,-3.38,,,0.0,17934.6483,430772.946564,2023HY,2023
4,002317,众生药业,104329.3,56000.75,48271.33,,,574714.48,,,,178182.52,,,,47.15,,396531.97,2023Q1,2023
5,002317,众生药业,139944.9534,53320.7491,44147.7244,30599.0071,,555349.32,-14.01,7158.0114,,154337.8824,5856.99,,,27.79,91541.288,391477.31,2024FY,2024
6,002317,众生药业,97164.167277,56356.53245,50483.561925,,5262782.41,579040.991442,-10.32,3933.0292,,134701.3456,-35.55,,0.0,23.29,130197.9778,428182.795923,2024HY,2024
7,002317,众生药业,95460.1791,48768.6417,49050.0492,,,622543.4943,-3.61,10208.6333,,164721.147,-19.91,,,26.46,,457822.3473,2024Q1,2024
8,002317,众生药业,,,,,,582004.6447,-9.89,,,,,,,,,454316.3897,2024Q3,2024
9,002317,众生药业,99160.0943,62805.7997,36287.0647,17495.0453,,515599.3169,-7.16,9501.6917,,112894.1226,-35.45,2396.8949,41529.1688,21.9,294847.6095,394847.6095,2025HY,2025
10,002317,众生药业,,,,,,523277.532509,-5.78,,,,,,,,,409401.3389,2025Q1,2025
11,002317,众生药业,93231.6283,60559.8702,34915.6784,,,516735.5302,-11.21,,,104151.675,,,,20.17,,412583.8552,2025Q3,2025
