serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002317,众生药业,6306.98,-89.87,6306.977939,-59.47,,-52672.647102,496.67,,,,,35760.422123,-337.2,2022FY,2022
2,002317,众生药业,28949.06,381.34,19061.36,65.93,,-74323.69,-257.09,,,,,84171.78,291.16,2023FY,2023
3,002317,众生药业,6336.43787,-61.16,6336.4379,9.35,,6216.84966,9.17,,,,,55232.616109,81.48,2023HY,2023
4,002317,众生药业,12876.896,,-14589.498866,-113.28,,26156.620884,203.1,,,,,1311.585112,10.18,2023Q1,2023
5,002317,众生药业,160359602.06,74.72,33784.23,76.76,244407.2111,34592.9865,78.6,98000.0,154587.2376,30189.0621,62306.7531,-24364.7171,-55.36,2024FY,2024
6,002317,众生药业,-24113.389946,-480.55,21263.316411,-88.18,,43666.877951,-181.08,,,,,-89044.433437,369.26,2024HY,2024
7,002317,众生药业,-285923925.25,-322.04,-7944.8308,27.79,41515.0014,8871.9114,-31.03,,,,,-29519.7112,103.24,2024Q1,2024
8,002317,众生药业,-441407484.93,-164.38,30046.0402,100.0,,,,,,,,,,2024Q3,2024
9,002317,众生药业,39664263.57,-81.35,3966.4264,-10.54,,12033.5124,-31.98,,,,,-53624.6393,142.53,2025HY,2025
10,002317,众生药业,-40813.351892,99.99,-2861.496791,7.01,,1804.126734,-4.42,,,,,-39755.785476,97.41,2025Q1,2025
11,002317,众生药业,-432333099.3,2.06,15498.5126,-35.85,,-6314.9275,14.61,,,,,-52415.311,121.24,2025Q3,2025
