serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002390,信邦制药,89918.0745,291282.364,103271.763,0.0,,979309.1573,1.71,71165.7242,,565956.4128,,,,57.79,37321.1964,680845.1647,2022FY,2022
2,002390,信邦制药,80598.2979,287527.4703,100077.9297,,,924497.12,-5.6,,,210288.453,-28.35,,,22.75,20252.9955,685240.13,2023FY,2023
3,002390,信邦制药,29334.997,3540.6891,17282.2355,,,967137.32,-1.24,1481.1788,,54732.9625,,,,5.66,41260.23,684784.2,2023HY,2023
4,002390,信邦制药,,,,,,988992.5342,0.99,,,,,,,,42615.6735,686139.6417,2023Q1,2023
5,002390,信邦制药,,,,,,962721.5378,-1.69,,,248146.4177,,,,25.78,,686444.6997,2023Q3,2023
6,002390,信邦制药,101551.5313,253434.0405,106043.0088,,,902833.65,-2.34,65199.1923,,200841.4827,-4.49,,,22.25,45675.2287,671005.64,2024FY,2024
7,002390,信邦制药,72998.9195,279038.8686,90389.9961,,,9005185.04,-2.59,68713.2451,,192665.8223,252.01,,,2.14,,678640.9,2024HY,2024
8,002390,信邦制药,61396.8235,295020.4146,95567.1997,,,913043.0923,-1.24,,,195472.5807,-8.91,,,27.97,,687383.6873,2024Q1,2024
9,002390,信邦制药,75233.6525,271644.5371,92402.6941,,10554.7444,889666.8586,-7.59,63679.7925,,,,2921.8129,60926.9107,,53761.5375,709696.914,2024Q3,2024
10,002390,信邦制药,99853.12,248112.15,95770.81,,,878673.73,-2.68,4285.45,,50091.72,-74.0,,45516.26,57.06,50705.693,676073.25,2025HY,2025
11,002390,信邦制药,,,,,,901615.3188,-0.13,,,,,,,,,700052.7694,2025Q1,2025
12,002390,信邦制药,96205.0215,244113.0785,92824.2702,,17857.7576,859185.0565,-4.83,57754.1756,2433.2722,161798.0921,-16.07,,30696.2186,24.64,49529.286,697386.9645,2025Q3,2025
