serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002390,信邦制药,119437878.84,,792.3526,635002.5827,,,39336.7953,42076.8469,3897.9403,120.7144,,85432.2969,550362.6384,,,-6263.2718,2022FY,2022
2,002390,信邦制药,53231.515,33.82,538.2979,646084130000.0,1.75,537120.78,34341.4,39442.49,2775.31,467.3,,614147.28,38503.3141,0.0,-752.3016,-5312.6703,2023FY,2023
3,002390,信邦制药,19159.737,,96.4274,325647.6094,3.59,262158.1755,17366.1311,20664.3266,,166.6147,1331.9215,301687.1694,20882.2102,20882.2102,,,2023HY,2023
4,002390,信邦制药,6264.8521,-25.05,,160512.7137,1.7,131418.3652,8566.4835,11672.6562,1118.0591,69.1394,,152844.7034,7112.1674,7218.9532,,,2023Q1,2023
5,002390,信邦制药,30344.5406,10.77,,482320.7647,,,,,,,,,33984.8473,,,,2023Q3,2023
6,002390,信邦制药,19589.1864,-38.61,337.7761,603226.2053,-100.0,,,,,,,,,,,,2024FY,2024
7,002390,信邦制药,15144.0259,-99.99,219.841,304656.9828,-6.45,,,,,,,,,,0.0,-2170.6722,2024HY,2024
8,002390,信邦制药,7169.379,14.7,97.7957,,,130720.2145,7286.9444,10672.442,488.236,86.5885,,149254.4254,,,,-334.3367,2024Q1,2024
9,002390,信邦制药,23273.7545,-23.3,329.6083,456535.5757,-5.35,,22926.284,28736.9214,1319.707,382.4833,,53365.3957,403499.7883,,,-2582.1346,2024Q3,2024
10,002390,信邦制药,14244.5336,-5.94,,284502.5272,-6.62,235310.57,12979.84,17508.62,676.34,300.94,1681.47,268457.78,16044.7472,,,,2025HY,2025
11,002390,信邦制药,5386.1042,-29.89,,,,,,,,,,,,,,,2025Q1,2025
12,002390,信邦制药,20077.7172,-13.74,328.0069,426628.5288,-6.55,352217.5511,19603.8993,26040.9452,1110.6059,429.2649,,399402.2664,27554.2693,,0.0,-811.0038,2025Q3,2025
