serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002603,以岭药业,190427.644311,1950.9682,,51838.3239,14646.0741,1633611.268927,26.59,147985.819,,105051.527777,14.64,110575.2031,,26.89,598917.8389,1093221.736593,2022FY,2022
2,002603,以岭药业,9405124.3311,24011863.6409,24586920.349,2059686.1111,14705863.763,16707053.76,17.09,6003486.1109,,9405124.3311,8852.87,2875214.4118,6003486.1109,56.3,59890602.8269,7301929.4289,2023FY,2023
3,002603,以岭药业,175517.531837,225096.371606,251235.804353,,,1815359.854174,11.13,229615.138841,,329677.721848,55.16,,,29.16,675984.6718,1170387.945318,2023HY,2023
4,002603,以岭药业,103561.006449,193866.038686,282213.21148,,,1824670.080638,,215849.3095,,611464.803217,,,,33.51,719169.277362,1213507.588838,2023Q1,2023
5,002603,以岭药业,107261.8858,248800.5279,242661.284,51838.3239,297.6779,1743500.3797,6.73,135348.454,,558695.8898,6.73,86552.6003,50034.5278,32.03,598917.8389,1185644.3127,2023Q3,2023
6,002603,以岭药业,85303.4839,122543.0236,174638.0345,,,1331917.108828,-21.56,184657.5494,,311707.8423,-63.4,,,80.54,,1022348.773227,2024FY,2024
7,002603,以岭药业,122375.4774,274990.2737,191747.3002,0.0,134208.8187,1695152.620011,-0.16,27284.9118,,548809.5661,-1.36,,46025.725,32.36,653533.2334,1147898.838947,2024HY,2024
8,002603,以岭药业,118975.939417,256325.398314,200081.741652,,,1712847.078554,0.88,195455.046074,,538858.905651,-11.87,33712.356007,60036.277778,31.46,681001.475629,1175361.70657,2024Q1,2024
9,002603,以岭药业,90730.878174,277834.277344,194090.592251,,136071.010269,1661408.471098,-2.15,195549.414345,17351.400627,5128442.3873,-9.25,,60028.525,43.55,,1148564.232368,2024Q3,2024
10,002603,以岭药业,104020.0333,139991.6419,146772.9941,56050.0,128050.5677,1389931.311275,4.36,8325.7395,,303203.799,-44.75,40920.5389,,21.81,549091.5621,1087296.879122,2025HY,2025
11,002603,以岭药业,100316.1043,160744.2792,138550.8236,,,1369408.8013,2.81,176655.0464,,316789.4327,-41.21,36025.647,0.0,23.13,560631.2939,1054938.6134,2025Q1,2025
12,002603,以岭药业,,,,,,1422030.9127,6.77,,,,,,,,,1069765.1756,2025Q3,2025
