serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002603,以岭药业,1776645.86336,23.88,5823.5347,1253284.102858,,463641.49,264618.014,29636.9627,1984.8228,76276.5513,12838.7908,848996.6316,410111.006,4744581440.45,-10843.1689,-1692.6692,2022FY,2022
2,002603,以岭药业,235682.1578,17.0,13942.1624,103183129000.0,17.0,,27046623.5069,5920418.1539,263680.9685,8531873.3274,,41762595.9567,235682.1578,,,,2023FY,2023
3,002603,以岭药业,160305.035,53.16,4107.462432,679056.1553,21.99,,152465.287284,29488.541089,473.298761,42028.064024,1532.863157,127681.7324,419890.640284,419890.640284,-1591.554026,-273.735008,2023HY,2023
4,002603,以岭药业,120143.681341,,,,,,73172.872365,16748.219471,49.521276,16484.407656,,106455.0208,,,,,2023Q1,2023
5,002603,以岭药业,175393.6733,24.35,,857467.832,,,208997.4354,43036.077,,59370.8783,,311404.3907,546063.4413,,,,2023Q3,2023
6,002603,以岭药业,528035.9643,124.05,16480.6752,651273.4472,-100.0,324420.8648,233470.4305,60001.1013,,82657.2647,11921.1877,712470.849,-44716.7266,,-24833.7301,-1029.702,2024FY,2024
7,002603,以岭药业,11669.5701,-64.67,,460448.5817,-32.25,147786.4418,107791.9466,27138.2273,1716.5353,39328.9796,7195.6229,397887.1342,67095.8833,64332.2075,,,2024HY,2024
8,002603,以岭药业,30191.969861,-74.87,2032.033383,,,122406.065216,56776.3691,13815.627101,843.569208,18059.247456,,211900.8781,,,,,2024Q1,2024
9,002603,以岭药业,55477.684341,-68.46,,636544.100117,-25.76,296668.992787,167200.979312,39504.642177,,57191.283578,9254.314009,572385.925205,70313.376323,672108.39061,-467.754602,-1764.119758,2024Q3,2024
10,002603,以岭药业,66529.829,470.11,4889.4822,404014.2218,-12.26,163700.946,91322.3536,27378.367,-183.7193,39858.5125,,322076.4598,86827.2442,,-2336.5676,121.0238,2025HY,2025
11,002603,以岭药业,32415.5915,7.36,581.545,,,108897.9436,54703.9894,11745.3828,-85.196,16403.0341,,191665.1539,39857.2314,39412.105,-2022.8831,215.09,2025Q1,2025
12,002603,以岭药业,99667.4336,80.33,,,,,,,,,,,,,,,2025Q3,2025
