serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002728,特一药业,16715.64,253.16,37165.82,222.34,53923.0384,-10333.1161,-61.82,20000.0,20042.9978,20000.0,20000.0,-10117.0568,-60.52,2022FY,2022
2,002728,特一药业,758.53,-95.46,19855.77,2617.7,,-8553.06,-1127.6,,,,,-10544.19,-1390.1,2023FY,2023
3,002728,特一药业,-18892.64,36.06,5836.57,-30.89,,-4580.51,24.24,,,,,-20148.69,106.65,2023HY,2023
4,002728,特一药业,-38779161.87,,2691.2422,-69.4,,-1923.5256,49.6,,,,,-4645.6328,119.8,2023Q1,2023
5,002728,特一药业,-34852884.49,,7220.8498,-207.18,,-7408.0248,212.55,,,,,-3298.1135,94.63,2023Q3,2023
6,002728,特一药业,-24385.392813,-3314.84,-2254.975356,9.25,62066.8084,-10979.811614,45.03,,373.5808,101377.9944,,-11150.605843,45.73,2024FY,2024
7,002728,特一药业,-4266.99,-173.11,-4266.99,12.19,,-16860.77,48.17,,,,,-13872.35,39.64,2024HY,2024
8,002728,特一药业,-16466.1416,99.96,-3937.649211,23.91,,-4681.249192,28.43,,,,,-7847.243197,47.66,2024Q1,2024
9,002728,特一药业,-266365274.04,-664.26,-3827.4948,14.37,,-28973.9994,108.78,,,,,6164.9669,-23.14,2024Q3,2024
10,002728,特一药业,-1715.62,59.79,14620.63,-316.95,313.7823,-18500.0,401.04,18500.0,11000.0,15400.0,41000.0,-733.6006,15.9,2025HY,2025
11,002728,特一药业,,,8938.37558,-6.31,,-6894.437948,4.87,,,,,-143692.28328,101.44,2025Q1,2025
12,002728,特一药业,-118015906.32,55.69,19119344.751,-162.01,,-15490588.592,131.26,,,,,-15430346.791,130.75,2025Q3,2025
