serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,002728,特一药业,0.8,88657.09,16.94,16.94,17820.41,40.41,40.41,6.43,13.98,1.71,17137.12,51.54,50.97,20.1,13.98,2022FY,2022
2,002728,特一药业,0.77,106721.21,18.76,0.0,25317.58,42.07,0.0,2.18,16.57,0.6,24901.21,43.61,56.5,23.73,16.57,2023FY,2023
3,002728,特一药业,0.47,53838.06,39.79,39.79,15212.51,147.51,147.51,4.42,10.46,0.18,15049.53,167.19,59.16,28.24,10.69,2023HY,2023
4,002728,特一药业,0.46,30415.7421,56.5,-65.69,10547.0921,130.96,-40.81,,7.24,0.1174,10458.3409,131.15,62.83,34.68,6.93,2023Q1,2023
5,002728,特一药业,0.11,20691.1843,,-61.57,3635.7138,0.15,-76.1,,2.12,0.2185,3543.4611,2.19,57.6,17.57,2.07,2023Q3,2023
6,002728,特一药业,0.04,687785.16766,-35.55,-35.55,2049.5,-91.9,-91.9,0.0,1.1,0.0,1855.244222,-92.55,44.17,2.98,0.0,2024FY,2024
7,002728,特一药业,0.005,31374.85,-41.72,90.6,268.94,-98.23,-70.62,1.4,0.52,-0.12,61.47,-99.59,56.86,0.86,0.52,2024HY,2024
8,002728,特一药业,0.03,16461.174446,-45.88,-84.58,915.462096,-91.32,-96.38,,0.45,-0.129,892.45811,-91.51,44.29,5.56,0.44,2024Q1,2024
9,002728,特一药业,0.01,14184.8736,-31.44,-54.79,332.0369,-90.87,23.46,,0.19,-0.1153,179.3572,-94.94,,2.34,0.1,2024Q3,2024
10,002728,特一药业,0.08,49114.29,56.54,66.41,3800.77,1313.23,20.4,,2.13,0.3077,892.5101,,80.8,7.74,2.14,2025HY,2025
11,002728,特一药业,0.06,29513.334845,79.29,-95.71,3156.727365,244.82,54.02,,1.77,0.1699,3170.68926,,,10.7,1.76,2025Q1,2025
12,002728,特一药业,0.13,69185.0596,51.86,40.87,6521.713,985.18,71.59,,3.62,381.1138,6280.9651,2508.06,,9.43,3.48,2025Q3,2025
