serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,002728,特一药业,17820.4104,39.75,854.6446,88657.0939,,29896.5773,11739.86,5898.51,2138.76,3800.98,986.7123,54461.3996,20100.0,20100.0,0.0,0.0,2022FY,2022
2,002728,特一药业,25317.579,42.07,760.4889,106721.2111,20.38,46798.8067,17435.886,6631.4371,482.4965,4306.4056,1228.0711,76883.103,25317.58,29299.3914,0.0,0.0,2023FY,2023
3,002728,特一药业,15212.5111,,,53838.0648,,,8061.55,3067.98,408.45,2286.19,,13824.17,15212.51,,,,2023HY,2023
4,002728,特一药业,10547.0921,,104.7016,30415.7421,,11306.0721,3553.2652,1636.4068,253.9397,1018.2148,,17767.8986,12704.3925,,,279.9593,2023Q1,2023
5,002728,特一药业,18848.225,,,74529.2491,,,12171.7895,4717.5975,561.7851,3247.0861,,20698.2582,53830.9909,,,,2023Q3,2023
6,002728,特一药业,2049.5,-91.9,749.86656,687785.16766,0.0,47880.55689,15111.486543,7442.884801,-71.630359,4333.431779,0.0,687785.16766,2049.5,2049.5,0.0,0.0,2024FY,2024
7,002728,特一药业,268.94,-95.43,360.8472,31374.8457,-41.85,18965.0044,7026.41,3441.99,-54.68,2279.41,159.31,31817.4444,2689.43,2689.43,0.0,189.87,2024HY,2024
8,002728,特一药业,915.462096,-91.32,187.645856,16461.174446,-45.88,9171.239617,3607.081071,1760.091759,-131.528347,1110.058343,,15516.9424,1131.289662,1119.388561,,153.373437,2024Q1,2024
9,002728,特一药业,600.98,-96.81,,45559.7193,-38.87,,9463.2383,5029.3988,,3383.109,,17875.7461,284.1304,219.4772,,,2024Q3,2024
10,002728,特一药业,3800.773,1313.24,326.6371,49114.2874,56.54,,19100.3573,,159.7916,1915.5895,,19533.19,3800.77,,0.0,230.2377,2025HY,2025
11,002728,特一药业,3156.727365,244.82,,29513.334845,79.29,,12192.659434,1748.417981,95.602678,951.291533,,14987.9716,14525.3632,,,,2025Q1,2025
12,002728,特一药业,6521.713,985.18,,69185.0596,51.86,,23631.5697,5154.6723,166.3823,3021.7213,,31974.3456,7318.0076,7483.2666,,,2025Q3,2025
