serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002864,盘龙药业,125362.16,0.0,12536.22,-12.53,7223.7215,-112624.39,112.53,27401.8868,0.0,27469.3016,492.8012,0.0,-0.0,2022FY,2022
2,002864,盘龙药业,10404.78,-17.0,10404.7784,37.35,107961.4198,-6240.9509,-22.4,7476.6165,,43292.0975,19599.0363,23693.0612,85.05,2023FY,2023
3,002864,盘龙药业,-9161412.02,-102.69,5968.8441,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023HY,2023
4,002864,盘龙药业,-27180906.91,,152.266,-5.6,,-1799.7598,66.21,,,,,-1070.5969,39.39,2023Q1,2023
5,002864,盘龙药业,27323.05688,-28.37,8225.86359,30.11,,-4650.870149,-17.02,,,,,23748.063439,86.92,2023Q3,2023
6,002864,盘龙药业,6269.814562,-784.37,11115.758741,177.29,,-6303.338037,-100.53,,,,,1457.393858,23.24,2024HY,2024
7,002864,盘龙药业,65521657.2,2718.0907,6347.8364,96.88,,-4717.6846,-72.0,,,,,4922.0139,75.12,2024Q1,2024
8,002864,盘龙药业,,56.03,12834.893851,206.41,,-7933.976173,-127.59,,,,,1317.18755,21.18,2024Q3,2024
9,002864,盘龙药业,-2609218.62,-104.16,6262.0899,-2399.99,55078.8819,-3107.4528,1190.95,3107.6298,0.0,5000.0,5050.0,-3415.5589,1309.04,2025HY,2025
10,002864,盘龙药业,-3676277.62,-114.03,2596.4726,-706.28,,-2273.3672,618.39,,,,,-690.7331,187.89,2025Q1,2025
