serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,002864,盘龙药业,1.18,974293135.49,9.78,,10116.35,8.58,,10.04,0.0,0.0,10115.04,8.05,0.0,0.0,11.62,2022FY,2022
2,002864,盘龙药业,1.15,98082.81,0.67,0.67,11043.22,9.16,-17.0,14.58,9.04,1.04,10934.07,8.1,64.25,11.26,9.04,2023FY,2023
3,002864,盘龙药业,0.58,50001.8374,,121.61,5425.4542,20.92,151.63,12.47,5.07,6.86,5129.7897,10.55,0.0,0.0,4.79,2023HY,2023
4,002864,盘龙药业,0.24,22562.521,13.48,-100.0,2156.1607,7.37,-78.69,,1.82,0.0169,2022.9136,-6.98,49.37,9.56,1.71,2023Q1,2023
5,002864,盘龙药业,0.33,21621.428113,-17.62,-56.76,2984.904415,-9.82,-44.98,,1.96,0.9094,3425.779952,4.98,,13.81,2.25,2023Q3,2023
6,002864,盘龙药业,0.57,45535.663375,10.21,116.72,5965.326368,9.95,10.16,7.71,3.78,1.05,5073.406075,-1.1,62.57,13.1,3.78,2024HY,2024
7,002864,盘龙药业,0.3,21011.5514,-6.87,-78.58,3114.7204,44.46,-71.8,,1.97,0.6114,2424.3406,19.84,,14.82,1.53,2024Q1,2024
8,002864,盘龙药业,0.28,26156.62861,20.98,-42.56,2991.842699,0.23,-49.85,,1.88,1.2012,2985.802468,-12.84,,11.44,1.86,2024Q3,2024
9,002864,盘龙药业,0.57,57402.3,26.06,129.41,6013.515,0.81,92.44,15.72,3.63,0.59,5285.7464,4.19,51.06,10.47,3.18,2025HY,2025
10,002864,盘龙药业,0.3,25021.2342,19.08,,3124.9274,0.33,,,1.88,0.2493,2875.2864,18.6,57.89,12.49,1.73,2025Q1,2025
