serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,300158,振东制药,72026.692,70522.418,107445.8576,201927.6065,2421.0451,655091.49,-35.1,2047.859,,14758.768,-1.78,14758.768,,2.257,640023.8244,525415.4,2022FY,2022
2,300158,振东制药,27411.8139,37995.7544,5399.2826,35077.0487,,618049.7,11.26,3860.3347,,69030.7661,367.73,0.05,,11.17,20971.3339,517885.67,2023FY,2023
3,300158,振东制药,88523.56,63788.6204,113449.51,154520.37,,620099.98,-5.34,45333.4622,,300018.45,,8676.0753,,48.38,523736.06,523736.06,2023HY,2023
4,300158,振东制药,97468.2707,64589.7002,121427.531,131736.6697,,614074.484,-6.26,41423.2009,,95293.0953,-35.97,6192.1937,,15.51,,518781.3887,2023Q3,2023
5,300158,振东制药,58459.2028,51954.9757,77597.8315,98962.4751,,498272.4546,-19.38,30175.5541,,2283000000.0,0.76,5141.5049,,35.22,-138815.3652,369762.9286,2024FY,2024
6,300158,振东制药,48467.8625,13375.4855,33646.078,72000.0,6990.636,592492.48,-4.14,57543.2974,10755.5584,85338.9006,10.55,,5020.0,6.91,-2893.2273,507153.5755,2024HY,2024
7,300158,振东制药,65219.2703,64526.9261,113053.1304,,,598448.789,-3.17,29594.7791,,90225.7439,,8002.7089,9.7801,15.08,-3648.879,511773.3154,2024Q1,2024
8,300158,振东制药,43919.79,73256.74,63734.99,59067.0115,,449880.71,-9.71,30182.8289,,107346.38,10.35,6473.6477,,23.86,,365620.13,2025HY,2025
9,300158,振东制药,46617.105982,66690.787,64305.976136,70819.082683,,463457.881278,-6.99,26112.70472,,101085.892183,12.04,4996.614487,,21.81,-138699.647481,366124.431923,2025Q1,2025
10,300158,振东制药,,,,,,451133.2119,-9.46,,,,,,,,,366803.9159,2025Q3,2025
